t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_cm_merge,c_su_merge,c_bstar,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,cm_threads_pro_page,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
40,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5496735,0,0,9.99536,0,0,0,0,0,44162777,927.597,2290.32,0.0269186,0.00117128,0.530896,226.386,2.46909,9.99536,4.09741,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
41,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5553644,0,0,9.99594,0,0,0,0,0,44262520,925.48,2290.28,0.0291333,0.00110132,0.524814,225.89,2.47469,9.99594,4.09704,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
42,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5532989,0,0,9.9954,0,0,0,0,0,43148235,949.422,2289.06,0.050266,0.0013855,0.557997,231.71,2.411,9.9954,4.09746,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
43,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5571350,0,0,9.99576,0,0,0,0,0,44277100,925.143,2290.47,0.0243813,0.000984527,0.531507,225.811,2.4758,9.99576,4.09699,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
44,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5541983,0,0,9.9958,0,0,0,0,0,44359872,923.504,2290.15,0.0252089,0.000873222,0.505869,225.391,2.47985,9.9958,4.09734,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
45,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5628679,0,0,9.99563,0,0,0,0,0,44384813,922.955,2290.05,0.0256626,0.000911866,0.486749,225.259,2.48122,9.99563,4.0973,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
46,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5610261,0,0,9.99596,0,0,0,0,0,44398141,922.745,2290.34,0.0238101,0.000844743,0.481875,225.198,2.4821,9.99596,4.09748,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
47,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5619728,0,0,9.99588,0,0,0,0,0,44300701,924.806,2290.88,0.023967,0.000877368,0.484738,225.694,2.47715,9.99588,4.09761,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
48,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5598272,0,0,9.99567,0,0,0,0,0,43339367,945.238,2289.33,0.0509951,0.00136499,0.498375,230.694,2.42196,9.99567,4.09736,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
49,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5613367,0,0,9.99565,0,0,0,0,0,44316959,924.262,2290.02,0.0254694,0.000947042,0.513874,225.604,2.47767,9.99565,4.09683,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
