t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_cm_merge,c_su_merge,c_bstar,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,cm_threads_pro_page,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
22,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9884973,0,0,90.6924,9.21904,0,0,0,10008,0,9.99587,-nan,0,0,0,0,46513633,880.752,2176.46,0.0273075,0.0010097,0.534399,214.955,2.47113,9.99587,4.09737,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
23,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9646182,0,0,90.6924,9.21904,0,0,0,9878,1,9.99589,-nan,0,0,0,0,46924725,873.087,2177.2,0.0220949,0.000999708,0.528093,213.075,2.49368,9.99589,4.09756,0,0,0,0,0,0,0,0,0,0,0,contention,0,5,0,0,0,0,0,0,0,0
24,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9545112,0,0,90.6924,9.21904,0,0,0,9716,0,9.99485,-nan,0,0,0,0,45364854,902.886,2175.1,0.0637863,0.00156443,0.590932,220.376,2.40906,9.99485,4.09703,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
25,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9916962,0,0,90.6924,9.21904,0,0,0,10092,0,9.99572,-nan,0,0,0,0,46479916,881.337,2175.78,0.0287133,0.000962523,0.559085,215.107,2.46873,9.99572,4.0972,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
26,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9895152,0,0,90.6924,9.21904,0,0,0,9948,2,9.9955,-nan,0,0,0,0,46674651,877.648,2173.68,0.0299573,0.000969927,0.542448,214.207,2.47671,9.9955,4.0972,0,0,0,0,0,0,0,0,0,0,0,contention,0,18,0,0,0,0,0,0,0,0
27,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9871680,0,0,90.6924,9.21904,0,0,0,9987,0,9.99565,-nan,0,0,0,0,46469272,881.431,2176.68,0.0342759,0.00106182,0.543536,215.156,2.46948,9.99565,4.09671,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
28,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9774180,0,0,90.6924,9.21904,0,0,0,9805,1,9.99568,-nan,0,0,0,0,46426218,882.324,2176.1,0.0293235,0.00114918,0.539971,215.357,2.46632,9.99568,4.09704,0,0,0,0,0,0,0,0,0,0,0,contention,0,7,0,0,0,0,0,0,0,0
29,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9837058,0,0,90.6924,9.21904,0,0,0,9960,1,9.9955,-nan,0,0,0,0,46615281,878.812,2174.45,0.0262076,0.0011245,0.530237,214.48,2.47431,9.9955,4.09741,0,0,0,0,0,0,0,0,0,0,0,contention,0,6,0,0,0,0,0,0,0,0
30,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9593399,0,0,90.6924,9.21904,0,0,0,9722,0,9.99526,-nan,0,0,0,0,45383175,902.604,2176.7,0.0495912,0.00156613,0.60034,220.297,2.41158,9.99526,4.09722,0,0,0,0,0,0,0,0,0,0,0,contention,0,1,0,0,0,0,0,0,0,0
31,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9872640,0,0,90.6924,9.21904,0,0,0,10023,0,9.99557,-nan,0,0,0,0,46256447,885.586,2176.28,0.0316667,0.00131361,0.556607,216.141,2.45744,9.99557,4.09726,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
