t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,tpcc_warehouse_count,tpcc_warehouse_affinity,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
2,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,9.50414,100,0,0,0,0,0,0,0,0,95.0995,0,0,3646172,0,59.9318,0,0,0,143602,0,2133917,64121.8,68540.6,832.935,355.063,28151,1.06891,59.9318,2.27778,6,order,0,280,232,496,0,0,0
2,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,9.50414,100,0,0,0,0,0,0,0,0,95.0995,0,0,3646172,0,59.9318,0,0,0,143602,0,2133917,64121.8,68540.6,832.935,355.063,28151,1.06891,59.9318,2.27778,5,neworder,0,0,2272,1254,0,0,0
2,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,9.50414,100,0,0,0,0,0,0,0,0,95.0995,0,0,3646172,0,59.9318,0,0,0,143602,0,2133917,64121.8,68540.6,832.935,355.063,28151,1.06891,59.9318,2.27778,1,district,0,332310,0,231636,0,0,0
2,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,9.50414,100,0,0,0,0,0,0,0,0,95.0995,0,0,3646172,0,59.9318,0,0,0,143602,0,2133917,64121.8,68540.6,832.935,355.063,28151,1.06891,59.9318,2.27778,0,warehouse,0,1106552,0,823254,0,0,0
2,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,9.50414,100,0,0,0,0,0,0,0,0,95.0995,0,0,3646172,0,59.9318,0,0,0,143602,0,2133917,64121.8,68540.6,832.935,355.063,28151,1.06891,59.9318,2.27778,2,customer,0,39,0,32,0,0,0
2,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,9.50414,100,0,0,0,0,0,0,0,0,95.0995,0,0,3646172,0,59.9318,0,0,0,143602,0,2133917,64121.8,68540.6,832.935,355.063,28151,1.06891,59.9318,2.27778,3,customerwdl,0,0,0,0,0,0,0
2,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,9.50414,100,0,0,0,0,0,0,0,0,95.0995,0,0,3646172,0,59.9318,0,0,0,143602,0,2133917,64121.8,68540.6,832.935,355.063,28151,1.06891,59.9318,2.27778,4,history,0,0,35,0,0,0,0
3,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,11.7787,100,0,0,0,0,0,0,0,0,93.9267,0,0,3444259,0,59.9388,0,0,0,151957,0,2250658,79913.6,69817.2,799.309,360.627,26689.6,0.873659,59.9388,2.99419,10,stock,0,766,0,1906,0,0,0
3,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,11.7787,100,0,0,0,0,0,0,0,0,93.9267,0,0,3444259,0,59.9388,0,0,0,151957,0,2250658,79913.6,69817.2,799.309,360.627,26689.6,0.873659,59.9388,2.99419,9,item,0,0,0,0,0,0,0
3,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,11.7787,100,0,0,0,0,0,0,0,0,93.9267,0,0,3444259,0,59.9388,0,0,0,151957,0,2250658,79913.6,69817.2,799.309,360.627,26689.6,0.873659,59.9388,2.99419,8,orderline,0,36758,46313,137,0,0,0
3,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,11.7787,100,0,0,0,0,0,0,0,0,93.9267,0,0,3444259,0,59.9388,0,0,0,151957,0,2250658,79913.6,69817.2,799.309,360.627,26689.6,0.873659,59.9388,2.99419,7,order_wdc,0,0,86,9,0,0,0
3,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,11.7787,100,0,0,0,0,0,0,0,0,93.9267,0,0,3444259,0,59.9388,0,0,0,151957,0,2250658,79913.6,69817.2,799.309,360.627,26689.6,0.873659,59.9388,2.99419,6,order,0,251,242,479,0,0,0
3,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,11.7787,100,0,0,0,0,0,0,0,0,93.9267,0,0,3444259,0,59.9388,0,0,0,151957,0,2250658,79913.6,69817.2,799.309,360.627,26689.6,0.873659,59.9388,2.99419,5,neworder,0,0,2002,992,0,0,0
3,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,11.7787,100,0,0,0,0,0,0,0,0,93.9267,0,0,3444259,0,59.9388,0,0,0,151957,0,2250658,79913.6,69817.2,799.309,360.627,26689.6,0.873659,59.9388,2.99419,1,district,0,315966,0,214538,0,0,0
3,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,11.7787,100,0,0,0,0,0,0,0,0,93.9267,0,0,3444259,0,59.9388,0,0,0,151957,0,2250658,79913.6,69817.2,799.309,360.627,26689.6,0.873659,59.9388,2.99419,0,warehouse,0,2790866,0,1374464,0,0,0
3,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,11.7787,100,0,0,0,0,0,0,0,0,93.9267,0,0,3444259,0,59.9388,0,0,0,151957,0,2250658,79913.6,69817.2,799.309,360.627,26689.6,0.873659,59.9388,2.99419,2,customer,0,63,0,38,0,0,0
3,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,11.7787,100,0,0,0,0,0,0,0,0,93.9267,0,0,3444259,0,59.9388,0,0,0,151957,0,2250658,79913.6,69817.2,799.309,360.627,26689.6,0.873659,59.9388,2.99419,3,customerwdl,0,0,0,0,0,0,0
3,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,11.7787,100,0,0,0,0,0,0,0,0,93.9267,0,0,3444259,0,59.9388,0,0,0,151957,0,2250658,79913.6,69817.2,799.309,360.627,26689.6,0.873659,59.9388,2.99419,4,history,0,0,9,0,0,0,0
4,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,14.0359,100,0,0,0,0,0,0,0,0,92.7628,0,0,3405856,0,59.9395,0,0,0,150790,0,2226408,82456.9,70332.2,800.235,364.086,26979.2,0.852957,59.9395,3.05632,10,stock,0,666,0,1925,0,0,0
4,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,14.0359,100,0,0,0,0,0,0,0,0,92.7628,0,0,3405856,0,59.9395,0,0,0,150790,0,2226408,82456.9,70332.2,800.235,364.086,26979.2,0.852957,59.9395,3.05632,9,item,0,0,0,0,0,0,0
4,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,14.0359,100,0,0,0,0,0,0,0,0,92.7628,0,0,3405856,0,59.9395,0,0,0,150790,0,2226408,82456.9,70332.2,800.235,364.086,26979.2,0.852957,59.9395,3.05632,8,orderline,0,32930,44535,133,0,0,0
4,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,14.0359,100,0,0,0,0,0,0,0,0,92.7628,0,0,3405856,0,59.9395,0,0,0,150790,0,2226408,82456.9,70332.2,800.235,364.086,26979.2,0.852957,59.9395,3.05632,7,order_wdc,0,0,71,3,0,0,0
4,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,14.0359,100,0,0,0,0,0,0,0,0,92.7628,0,0,3405856,0,59.9395,0,0,0,150790,0,2226408,82456.9,70332.2,800.235,364.086,26979.2,0.852957,59.9395,3.05632,6,order,0,204,204,407,0,0,0
4,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,14.0359,100,0,0,0,0,0,0,0,0,92.7628,0,0,3405856,0,59.9395,0,0,0,150790,0,2226408,82456.9,70332.2,800.235,364.086,26979.2,0.852957,59.9395,3.05632,5,neworder,0,0,1581,675,0,0,0
4,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,14.0359,100,0,0,0,0,0,0,0,0,92.7628,0,0,3405856,0,59.9395,0,0,0,150790,0,2226408,82456.9,70332.2,800.235,364.086,26979.2,0.852957,59.9395,3.05632,1,district,0,306726,0,207470,0,0,0
4,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,14.0359,100,0,0,0,0,0,0,0,0,92.7628,0,0,3405856,0,59.9395,0,0,0,150790,0,2226408,82456.9,70332.2,800.235,364.086,26979.2,0.852957,59.9395,3.05632,0,warehouse,0,3079608,0,1430412,0,0,0
4,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,14.0359,100,0,0,0,0,0,0,0,0,92.7628,0,0,3405856,0,59.9395,0,0,0,150790,0,2226408,82456.9,70332.2,800.235,364.086,26979.2,0.852957,59.9395,3.05632,2,customer,0,54,0,34,0,0,0
4,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,14.0359,100,0,0,0,0,0,0,0,0,92.7628,0,0,3405856,0,59.9395,0,0,0,150790,0,2226408,82456.9,70332.2,800.235,364.086,26979.2,0.852957,59.9395,3.05632,3,customerwdl,0,0,0,0,0,0,0
4,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,14.0359,100,0,0,0,0,0,0,0,0,92.7628,0,0,3405856,0,59.9395,0,0,0,150790,0,2226408,82456.9,70332.2,800.235,364.086,26979.2,0.852957,59.9395,3.05632,4,history,0,0,0,0,0,0,0
5,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,16.2935,100,0,0,0,0,0,0,0,0,91.5988,0,0,3395999,0,59.9392,0,0,0,150791,0,2230043,82746.7,70364.6,801.281,363.284,26933.3,0.850362,59.9392,3.07228,10,stock,0,657,0,2008,0,0,0
5,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,16.2935,100,0,0,0,0,0,0,0,0,91.5988,0,0,3395999,0,59.9392,0,0,0,150791,0,2230043,82746.7,70364.6,801.281,363.284,26933.3,0.850362,59.9392,3.07228,9,item,0,0,0,0,0,0,0
5,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,16.2935,100,0,0,0,0,0,0,0,0,91.5988,0,0,3395999,0,59.9392,0,0,0,150791,0,2230043,82746.7,70364.6,801.281,363.284,26933.3,0.850362,59.9392,3.07228,8,orderline,0,32421,44861,120,0,0,0
5,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,16.2935,100,0,0,0,0,0,0,0,0,91.5988,0,0,3395999,0,59.9392,0,0,0,150791,0,2230043,82746.7,70364.6,801.281,363.284,26933.3,0.850362,59.9392,3.07228,7,order_wdc,0,0,61,9,0,0,0
5,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,16.2935,100,0,0,0,0,0,0,0,0,91.5988,0,0,3395999,0,59.9392,0,0,0,150791,0,2230043,82746.7,70364.6,801.281,363.284,26933.3,0.850362,59.9392,3.07228,6,order,0,200,150,399,0,0,0
5,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,16.2935,100,0,0,0,0,0,0,0,0,91.5988,0,0,3395999,0,59.9392,0,0,0,150791,0,2230043,82746.7,70364.6,801.281,363.284,26933.3,0.850362,59.9392,3.07228,5,neworder,0,0,1614,658,0,0,0
5,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,16.2935,100,0,0,0,0,0,0,0,0,91.5988,0,0,3395999,0,59.9392,0,0,0,150791,0,2230043,82746.7,70364.6,801.281,363.284,26933.3,0.850362,59.9392,3.07228,1,district,0,308202,0,207976,0,0,0
5,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,16.2935,100,0,0,0,0,0,0,0,0,91.5988,0,0,3395999,0,59.9392,0,0,0,150791,0,2230043,82746.7,70364.6,801.281,363.284,26933.3,0.850362,59.9392,3.07228,0,warehouse,0,3086681,0,1437153,0,0,0
5,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,16.2935,100,0,0,0,0,0,0,0,0,91.5988,0,0,3395999,0,59.9392,0,0,0,150791,0,2230043,82746.7,70364.6,801.281,363.284,26933.3,0.850362,59.9392,3.07228,2,customer,0,50,0,37,0,0,0
5,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,16.2935,100,0,0,0,0,0,0,0,0,91.5988,0,0,3395999,0,59.9392,0,0,0,150791,0,2230043,82746.7,70364.6,801.281,363.284,26933.3,0.850362,59.9392,3.07228,3,customerwdl,0,0,0,0,0,0,0
5,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,16.2935,100,0,0,0,0,0,0,0,0,91.5988,0,0,3395999,0,59.9392,0,0,0,150791,0,2230043,82746.7,70364.6,801.281,363.284,26933.3,0.850362,59.9392,3.07228,4,history,0,0,1,0,0,0,0
6,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,18.5644,100,0,0,0,0,0,0,0,0,90.4278,0,0,3351403,0,59.9383,0,0,0,151719,0,2243019,82359.3,70602.4,801.893,364.036,26778.6,0.857248,59.9383,3.07556,10,stock,0,693,0,1931,0,0,0
6,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,18.5644,100,0,0,0,0,0,0,0,0,90.4278,0,0,3351403,0,59.9383,0,0,0,151719,0,2243019,82359.3,70602.4,801.893,364.036,26778.6,0.857248,59.9383,3.07556,9,item,0,0,0,0,0,0,0
6,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,18.5644,100,0,0,0,0,0,0,0,0,90.4278,0,0,3351403,0,59.9383,0,0,0,151719,0,2243019,82359.3,70602.4,801.893,364.036,26778.6,0.857248,59.9383,3.07556,8,orderline,0,35232,44973,136,0,0,0
6,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,18.5644,100,0,0,0,0,0,0,0,0,90.4278,0,0,3351403,0,59.9383,0,0,0,151719,0,2243019,82359.3,70602.4,801.893,364.036,26778.6,0.857248,59.9383,3.07556,7,order_wdc,0,0,69,1,0,0,0
6,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,18.5644,100,0,0,0,0,0,0,0,0,90.4278,0,0,3351403,0,59.9383,0,0,0,151719,0,2243019,82359.3,70602.4,801.893,364.036,26778.6,0.857248,59.9383,3.07556,6,order,0,214,190,401,0,0,0
6,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,18.5644,100,0,0,0,0,0,0,0,0,90.4278,0,0,3351403,0,59.9383,0,0,0,151719,0,2243019,82359.3,70602.4,801.893,364.036,26778.6,0.857248,59.9383,3.07556,5,neworder,0,0,1645,696,0,0,0
6,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,18.5644,100,0,0,0,0,0,0,0,0,90.4278,0,0,3351403,0,59.9383,0,0,0,151719,0,2243019,82359.3,70602.4,801.893,364.036,26778.6,0.857248,59.9383,3.07556,1,district,0,312756,0,211053,0,0,0
6,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,18.5644,100,0,0,0,0,0,0,0,0,90.4278,0,0,3351403,0,59.9383,0,0,0,151719,0,2243019,82359.3,70602.4,801.893,364.036,26778.6,0.857248,59.9383,3.07556,0,warehouse,0,2972203,0,1413562,0,0,0
6,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,18.5644,100,0,0,0,0,0,0,0,0,90.4278,0,0,3351403,0,59.9383,0,0,0,151719,0,2243019,82359.3,70602.4,801.893,364.036,26778.6,0.857248,59.9383,3.07556,2,customer,0,56,0,40,0,0,0
6,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,18.5644,100,0,0,0,0,0,0,0,0,90.4278,0,0,3351403,0,59.9383,0,0,0,151719,0,2243019,82359.3,70602.4,801.893,364.036,26778.6,0.857248,59.9383,3.07556,3,customerwdl,0,0,0,0,0,0,0
6,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,18.5644,100,0,0,0,0,0,0,0,0,90.4278,0,0,3351403,0,59.9383,0,0,0,151719,0,2243019,82359.3,70602.4,801.893,364.036,26778.6,0.857248,59.9383,3.07556,4,history,0,0,3,0,0,0,0
7,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,20.8381,100,0,0,0,0,0,0,0,0,89.2554,0,0,3385198,0,59.939,0,0,0,151896,0,2240417,82549.1,70631.1,800.519,364.937,26809,0.855625,59.939,3.07915,10,stock,0,645,0,1941,0,0,0
7,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,20.8381,100,0,0,0,0,0,0,0,0,89.2554,0,0,3385198,0,59.939,0,0,0,151896,0,2240417,82549.1,70631.1,800.519,364.937,26809,0.855625,59.939,3.07915,9,item,0,0,0,0,0,0,0
7,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,20.8381,100,0,0,0,0,0,0,0,0,89.2554,0,0,3385198,0,59.939,0,0,0,151896,0,2240417,82549.1,70631.1,800.519,364.937,26809,0.855625,59.939,3.07915,8,orderline,0,34533,45176,137,0,0,0
7,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,20.8381,100,0,0,0,0,0,0,0,0,89.2554,0,0,3385198,0,59.939,0,0,0,151896,0,2240417,82549.1,70631.1,800.519,364.937,26809,0.855625,59.939,3.07915,7,order_wdc,0,0,83,3,0,0,0
7,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,20.8381,100,0,0,0,0,0,0,0,0,89.2554,0,0,3385198,0,59.939,0,0,0,151896,0,2240417,82549.1,70631.1,800.519,364.937,26809,0.855625,59.939,3.07915,6,order,0,193,164,399,0,0,0
7,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,20.8381,100,0,0,0,0,0,0,0,0,89.2554,0,0,3385198,0,59.939,0,0,0,151896,0,2240417,82549.1,70631.1,800.519,364.937,26809,0.855625,59.939,3.07915,5,neworder,0,0,1568,565,0,0,0
7,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,20.8381,100,0,0,0,0,0,0,0,0,89.2554,0,0,3385198,0,59.939,0,0,0,151896,0,2240417,82549.1,70631.1,800.519,364.937,26809,0.855625,59.939,3.07915,1,district,0,310744,0,210480,0,0,0
7,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,20.8381,100,0,0,0,0,0,0,0,0,89.2554,0,0,3385198,0,59.939,0,0,0,151896,0,2240417,82549.1,70631.1,800.519,364.937,26809,0.855625,59.939,3.07915,0,warehouse,0,3010543,0,1415937,0,0,0
7,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,20.8381,100,0,0,0,0,0,0,0,0,89.2554,0,0,3385198,0,59.939,0,0,0,151896,0,2240417,82549.1,70631.1,800.519,364.937,26809,0.855625,59.939,3.07915,2,customer,0,53,0,38,0,0,0
7,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,20.8381,100,0,0,0,0,0,0,0,0,89.2554,0,0,3385198,0,59.939,0,0,0,151896,0,2240417,82549.1,70631.1,800.519,364.937,26809,0.855625,59.939,3.07915,3,customerwdl,0,0,0,0,0,0,0
