t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
28,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2747297,0,119.921,0,0,0,0,0,5253911,76763.6,8350.3,33.0295,15.6298,22969.1,0.10878,119.921,3.34204,0,latest,0,14197919,0,0,0,0,0
29,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2748804,0,119.92,0,0,0,0,0,6277001,64261.8,7111.41,30.7674,14.189,19227.5,0.110663,119.92,3.34218,0,latest,0,14245867,0,0,0,0,0
30,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2756128,0,119.923,0,0,0,0,0,5592758,72352,7863.03,32.1983,15.1044,21652.9,0.108677,119.923,3.34145,0,latest,0,14271722,0,0,0,0,0
31,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2754253,0,119.91,0,0,0,0,0,5238128,76989.8,8271.67,32.7997,15.5402,23037.2,0.107439,119.91,3.34197,0,latest,0,14175006,0,0,0,0,0
32,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2750683,0,119.926,0,0,0,0,0,5399524,74681.1,8136.96,32.4339,15.2285,22340.4,0.108956,119.926,3.34287,0,latest,0,14211084,0,0,0,0,0
33,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2747524,0,119.919,0,0,0,0,0,5078278,79403.3,8491.02,33.33,15.7005,23760.9,0.106935,119.919,3.34176,0,latest,0,14173600,0,0,0,0,0
34,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2750007,0,119.926,0,0,0,0,0,4994942,80732.3,8563.34,32.9448,15.7449,24157.1,0.106071,119.926,3.34197,0,latest,0,14103873,0,0,0,0,0
35,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2746959,0,119.917,0,0,0,0,0,4806361,83901.1,8886.94,33.8864,16.2631,25106.8,0.105922,119.917,3.34176,0,latest,0,14148870,0,0,0,0,0
36,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2754456,0,119.925,0,0,0,0,0,5099538,79107.6,8447.16,32.8434,15.7259,23655,0.106781,119.925,3.34422,0,latest,0,14210448,0,0,0,0,0
37,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2745426,0,119.921,0,0,0,0,0,6622983,60891.2,6982.63,28.6397,13.8814,18211.6,0.114674,119.921,3.34353,0,latest,0,14116518,0,0,0,0,0
