t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
1,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,7.23325,12.9621,79.8046,51.2497,1.01503,0.0964025,32230,15679,15678,0.960497,9.00904,664.884,446,28945,28532,110.582,22.0584,855,657.816,0,666.585,155792,1.2972e+06,132334,569.797,101.017,714304,0.102015,110.582,1.81603,0,latest,42725,4265862,0,1260070,0,0,0
2,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,10.9601,11.0567,77.9832,53.7739,1.37798,0.214301,44666,19620,19620,0.951928,9.2591,494.93,576,40206,39688,115.043,18.2438,74,477.097,0,495.039,343563,639277,64401.2,268.771,50.4719,336810,0.100741,115.043,1.89804,0,latest,31729,4189168,0,1479261,0,0,0
3,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,28.003,12.2935,59.7034,36.1775,1.97033,1.39958,90350,15063,15064,0.267973,18.3538,350.096,40476,77358,76321,115.386,16.0817,96,339.783,0,363.607,2833228,122151,13124.4,80.8547,19.0117,40922,0.107444,115.386,2.98498,0,latest,23304,6385534,0,1999655,0,0,0
4,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,35.9038,15.1779,48.9183,17.6262,1.95712,2.61675,30425,523,523,0.430783,17.6488,125.457,153084,24525,24183,118.525,24.863,388,123.225,0,122.055,4370778,89772.3,10541.1,46.9234,17.1877,27244.8,0.117421,118.525,3.29502,0,latest,7826,9749318,0,3013192,0,0,0
5,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,34.1598,15.2129,50.6273,18.9184,1.87516,2.59238,28502,526,526,0.421435,17.0085,125.581,153101,22962,22689,118.45,25.104,399,123.694,0,126.221,4618833,85121.9,10462.7,42.241,17.2405,25769.4,0.122915,118.45,3.30321,0,latest,8087,11989885,0,1403384,0,0,0
6,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,32.3663,15.5824,52.0513,18.4773,1.71658,2.56359,25059,505,505,0.124639,15.9,124.708,155147,20208,19968,118.428,26.804,390,122.523,0,130.293,4156805,95467.3,10946.9,47.7611,17.9681,28616.1,0.114667,118.428,3.33614,0,latest,8351,9940859,0,2915478,0,0,0
7,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,33.1663,13.222,53.6117,25.2889,1.47375,2.56648,32550,467,467,0.433899,16.1127,125.613,149801,26025,25713,118.493,22.6584,386,123.943,0,119.434,3280317,121086,13117.5,56.4289,19.3857,36294,0.108332,118.493,3.33624,0,latest,7655,4652769,0,7066602,0,0,0
8,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,33.2013,15.3915,51.4072,17.8205,1.62885,2.55772,27213,512,511,0.37859,15.3002,125.753,154085,22048,21769,118.503,26.7927,387,124.583,0,126.892,3928577,100975,11910.2,48.0146,18.747,30322.8,0.117952,118.503,3.33001,0,latest,8133,10675664,0,2568694,0,0,0
9,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,36.6589,11.4366,51.9044,27.6254,1.57311,2.80868,33095,504,505,0.391054,16.9548,96.8891,152087,26550,26248,118.676,19.3312,293,96.187,0,96.8267,3114844,127826,13253.5,58.0907,20.1673,38284.1,0.103684,118.676,3.33889,0,latest,6206,4777576,0,7104615,0,0,0
10,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,31.2406,14.0154,54.7439,22.5993,1.27373,2.2621,31372,528,528,0.567106,15.865,139.889,148583,24897,24641,118.201,25.6007,444,139.03,0,136.362,5098034,77593.8,8797.27,41.7365,14.3865,23306.2,0.113376,118.201,3.32932,0,latest,8740,7861622,0,2841204,0,0,0
11,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,33.3406,12.8839,53.7755,25.7171,1.50738,2.57677,32014,546,546,1.04697,17.4853,123.101,149795,25619,25368,118.491,22.3656,360,122.289,0,113.599,4574408,86948,9394.57,44.6686,15.3127,26044.9,0.108048,118.491,3.33839,0,latest,7281,7544395,0,3369839,0,0,0
12,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,25.0033,13.5401,61.4567,31.0586,0.781107,1.94723,21348,389,389,0.985425,14.522,111.071,154307,16971,16807,118.496,24.4521,364,110.728,0,112.226,4682779,84889.2,9761.48,43.7966,16.0525,25441.6,0.114991,118.496,3.33663,0,latest,7193,9347635,0,2848787,0,0,0
13,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,41.1708,13.2426,45.5866,16.0999,1.94681,2.92275,36040,542,542,1.04697,18.7433,114.114,152580,29319,29037,118.534,23.518,341,113.599,0,112.959,4331456,91632.8,10535.1,45.9488,16.9758,27533.5,0.114971,118.534,3.32805,0,latest,7240,9490304,0,3054314,0,0,0
14,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,37.634,14.1772,48.1888,16.8694,1.47698,2.69219,30703,495,495,1.04697,19.1461,112.554,154880,24720,24500,118.543,25.0998,348,112.242,0,112.554,4277613,92906.1,10416.4,46.3735,17.1232,27874.4,0.112118,118.543,3.33303,0,latest,7214,9507466,0,3254965,0,0,0
15,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,35.9584,14.7285,49.3131,17.7437,1.64908,2.74824,27869,546,546,1.04697,19.7942,112.507,156072,22579,22389,118.58,25.1813,348,112.288,0,112.507,4080352,97377.1,8909.28,48.1648,18.046,29245.6,0.0914925,118.58,3.32963,0,latest,7211,9380268,0,3380221,0,0,0
16,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,37.4094,12.8648,49.7259,22.4957,1.68905,2.92979,33304,501,501,1.04697,20.2678,112.538,152098,26553,26337,118.53,21.7202,341,112.366,0,112.538,3296076,120102,10218.7,54.9373,19.1299,36182.4,0.0850837,118.53,3.31934,0,latest,7213,4928757,0,6703717,0,0,0
17,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,36.1346,14.778,49.0874,17.5201,1.47633,2.93651,27524,501,501,1.04697,18.9568,112.554,156273,21973,21808,118.521,25.1186,342,112.288,0,112.554,3986787,99493.2,9506.76,46.5196,18.7101,29911.2,0.0955518,118.521,3.32628,0,latest,7214,11236079,0,2183284,0,0,0
18,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,36.1463,14.9798,48.8738,17.4349,1.224,2.75944,28213,477,477,1.04697,19.3556,112.569,156493,22894,22733,118.513,25.0903,349,112.444,0,112.569,3964608,100200,9149.4,47.4963,18.1923,30069.9,0.0913116,118.513,3.33223,0,latest,7215,9934198,0,2815648,0,0,0
19,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,37.8065,14.4829,47.7106,16.9957,1.44133,2.85994,30351,461,461,1.04697,19.7326,112.522,155826,24336,24189,118.491,24.3904,342,112.507,0,112.522,5201018,76381.3,6939.48,40.9798,14.4536,22929.2,0.0908531,118.491,3.33118,0,latest,7212,8609966,0,2500774,0,0,0
0,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,7.78899,8.03553,84.1755,51.2587,2.44411,0.0269662,789910,498610,498610,1.04104,19.9967,10388.8,557022,698495,691657,1.86499,27.3355,571,10388.8,793521,0,0,inf,inf,inf,inf,inf,0.548645,1.86499,0.400928,0,latest,0,0,1547,0,0,0,0
1,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,8.87409,15.5581,75.5678,42.7644,1.18075,0.0963205,39122,18837,18837,0.935615,7.95544,745.765,488,35548,35029,112.664,25.4547,880,735.265,0,747.794,193930,1.06045e+06,109263,478.102,82.0076,584564,0.103034,112.664,1.81409,0,latest,47930,4387558,0,1315710,0,0,0
