t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
23,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.1897,9.70824,74.1021,38.4731,2.02648,0.374163,38451,7541,7541,1.00708,1.23714,109.87,2897252,8149,117.367,30.3265,338,109.87,0,109.87,9572615,40920.1,5440.9,27.9145,12.3109,12332.3,0.132964,117.367,3.31812,0,latest,7042,13386000,0,0,0,0,0
24,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.655,8.85056,74.4944,36.6576,2.62358,0.459579,35519,6823,6823,1.00708,1.18285,108.95,2875925,7344,117.381,32.3721,403,108.95,0,108.95,13404407,29238.8,4320.22,25.3246,10.748,8807.81,0.147756,117.381,3.31964,0,latest,6983,13059393,0,0,0,0,0
25,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.3296,9.04342,74.6269,38.4092,1.52926,0.30837,41791,8297,8297,1.00708,1.29945,109.636,2893118,8635,117.529,30.8468,371,109.667,0,109.636,11975547,32761,4645.37,26.7034,11.0628,9869.87,0.141796,117.529,3.31929,0,latest,7027,13224549,0,0,0,0,0
26,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.5432,9.77027,73.6866,35.274,2.00039,0.345711,38546,7856,7856,1.00708,1.34414,108.45,2897381,8059,117.487,32.765,443,108.45,0,108.45,9169548,42776.4,5424.74,29.0079,12.4355,12891.1,0.126816,117.487,3.31829,0,latest,6951,13491279,0,0,0,0,0
27,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,14.7781,10.2454,74.9765,37.8089,1.29608,0.264586,35954,7325,7325,1.00708,1.30212,104.659,2888833,7238,117.721,31.2819,547,104.659,0,104.659,9589091,40995.1,5273,27.9286,12.2066,12351.5,0.128625,117.721,3.31905,0,latest,6708,13461086,0,0,0,0,0
28,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,15.1003,9.84818,75.0515,38.1857,1.52586,0.297336,36271,7501,7501,1.00708,1.29504,104.3,2965494,7448,117.543,31.0796,336,104.347,0,104.3,9911123,39602,5235.61,27.4224,11.8999,11927.2,0.132206,117.543,3.32031,0,latest,6685,13390780,0,0,0,0,0
29,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,21.2566,8.99175,69.7517,34.395,1.84559,0.344031,36991,7404,7404,1.00708,1.30134,103.021,3121379,7501,117.59,30.0869,355,103.021,0,103.021,13598670,28866.3,4214.44,24.8099,10.3908,8696.39,0.145999,117.59,3.31934,0,latest,6603,13027934,0,0,0,0,0
30,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.5437,9.46065,73.9956,37.2367,1.81014,0.35419,38255,7824,7824,1.00708,1.3048,107.655,2889661,7779,117.61,30.8477,395,107.655,0,107.655,11614528,33814.8,4597.75,25.6951,11.0742,10186.9,0.135969,117.61,3.31942,0,latest,6900,13134024,0,0,0,0,0
31,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,18.492,9.94581,71.5622,34.8522,2.55988,0.420038,41978,8384,8384,1.00708,1.44611,102.615,2863826,8448,117.744,31.0168,425,102.646,0,102.615,8448620,46565.3,5749.5,28.5215,12.6983,14023.4,0.123472,117.744,3.32054,0,latest,6577,13568099,0,0,0,0,0
32,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,17.3205,10.1119,72.5676,35.8214,1.9634,0.391077,31439,6786,6786,1.00708,1.45271,88.9944,2942651,6522,118.056,31.0154,360,89.01,0,88.9944,8562959,46103.5,5723.78,28.1804,12.6045,13872.3,0.124151,118.056,3.32343,0,latest,5704,13732605,0,0,0,0,0
