t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,c_backoff_strategy,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
38,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2875319,0,119.926,0,0,0,0,0,5405731,74608.3,8804.69,31.9029,15.3037,22323,0.118012,119.926,3.34222,0,latest,0,13805222,0,0,0,0,0
39,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2882215,0,119.924,0,0,0,0,0,5384096,74888.9,8821.5,31.9125,15.3023,22403.8,0.117795,119.924,3.34269,0,latest,0,13777328,0,0,0,0,0
40,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2871098,0,119.926,0,0,0,0,0,5338320,75539.5,8830.11,32.1198,15.4193,22596.2,0.116894,119.926,3.34301,0,latest,0,13790112,0,0,0,0,0
41,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2877475,0,119.925,0,0,0,0,0,5308741,75965.2,8822.7,32.2222,15.4906,22728.7,0.116141,119.925,3.34226,0,latest,0,13801135,0,0,0,0,0
42,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2880886,0,119.927,0,0,0,0,0,5324994,75741.6,8798.18,32.1705,15.4828,22657,0.116161,119.927,3.34296,0,latest,0,13791461,0,0,0,0,0
43,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2884107,0,119.926,0,0,0,0,0,5300988,76083.6,8830.48,32.2396,15.5161,22760.6,0.116063,119.926,3.34278,0,latest,0,13791416,0,0,0,0,0
44,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2883560,0,119.93,0,0,0,0,0,5309632,75965.3,8819.7,32.1939,15.4931,22717.1,0.116102,119.93,3.34397,0,latest,0,13799824,0,0,0,0,0
45,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2883290,0,119.927,0,0,0,0,0,5311073,75922.5,8814.35,32.1846,15.5003,22713.5,0.116097,119.927,3.34262,0,latest,0,13777151,0,0,0,0,0
46,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2879030,0,119.926,0,0,0,0,0,5309875,75935.4,8817.69,32.2534,15.5067,22715.8,0.116121,119.926,3.34284,0,latest,0,13786993,0,0,0,0,0
47,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2878597,0,119.925,0,0,0,0,0,5314738,75869,8812.2,32.224,15.489,22695.1,0.11615,119.925,3.34296,0,latest,0,13789772,0,0,0,0,0
48,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2878557,0,119.928,0,0,0,0,0,5325104,75715.3,8797.7,32.1819,15.4832,22650.6,0.116194,119.928,3.34276,0,latest,0,13788968,0,0,0,0,0
49,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2880338,0,119.927,0,0,0,0,0,5322319,75757.8,8802.54,32.1996,15.4922,22665.1,0.116193,119.927,3.34248,0,latest,0,13790547,0,0,0,0,0
50,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2880230,0,119.922,0,0,0,0,0,5153556,78247,8818.69,32.7208,15.5717,23413.5,0.112703,119.922,3.34196,0,latest,0,13772733,0,0,0,0,0
51,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2878201,0,119.925,0,0,0,0,0,5086598,79288.8,8811.58,32.9036,15.5908,23719.3,0.111133,119.925,3.34279,0,latest,0,13753480,0,0,0,0,0
52,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2883274,0,119.925,0,0,0,0,0,5109465,78926.7,8783.97,32.8544,15.5758,23614.5,0.111293,119.925,3.3423,0,latest,0,13770265,0,0,0,0,0
53,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2880715,0,119.923,0,0,0,0,0,5096644,79123.9,8799,32.8973,15.6149,23674.4,0.111205,119.923,3.34217,0,latest,0,13769334,0,0,0,0,0
54,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2911261,0,119.927,0,0,0,0,0,5131931,78630,8744.39,32.7147,15.506,23513.2,0.111209,119.927,3.34408,0,latest,0,13873752,0,0,0,0,0
55,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2896469,0,119.926,0,0,0,0,0,5113083,78903.3,8772.95,32.799,15.5582,23605,0.111186,119.926,3.34266,0,latest,0,13792964,0,0,0,0,0
56,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2886290,0,119.925,0,0,0,0,0,5091414,79215.2,8809.25,32.8996,15.6252,23702.5,0.111207,119.925,3.34207,0,latest,0,13775024,0,0,0,0,0
57,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2884191,0,119.926,0,0,0,0,0,5119282,78764.3,8771.84,32.8253,15.5514,23568.6,0.111368,119.926,3.34192,0,latest,0,13792787,0,0,0,0,0
58,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2889775,0,119.928,0,0,0,0,0,5095881,79147.3,8801.07,32.8549,15.5962,23680.3,0.111199,119.928,3.34233,0,latest,0,13762648,0,0,0,0,0
