t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
25,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,80.202,4.44444,15.3535,4.94949,0,0,0,2,2,1.00787,21.0559,0.0312042,233468,0,59.9768,9.39394,0,0.0312042,2,0,6105730,32922.4,5759.56,24.4495,10.9328,9849.57,0.174943,59.9768,3.34252,0,latest,0,8398891,0,0,2,0,0
26,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,100,0,0,0,0,0,0,0,0,1.00787,21.0559,0,233370,0,59.9762,0,0,0,0,0,7022823,28621.7,5026.1,27.1962,9.73728,8564.22,0.175604,59.9762,3.34201,0,latest,0,6832098,0,0,0,0,0
27,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,100,0,0,0,0,0,0,0,0,1.00787,21.0559,0,233370,0,59.9773,0,0,0,0,0,7034133,28577.1,5023.97,27.1932,9.7394,8549.87,0.175804,59.9773,3.3424,0,latest,0,6843830,0,0,0,0,0
28,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,100,0,0,0,0,0,0,0,0,1.00787,21.0559,0,233429,0,59.9772,0,0,0,0,0,7043443,28542.8,5019.28,27.1554,9.73148,8538.83,0.175851,59.9772,3.3427,0,latest,0,6838061,0,0,0,0,0
29,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,92.221,0.563698,7.21533,2.93123,0,0,0,1,1,1.00787,21.0551,0.0156021,233452,0,59.9768,3.83315,0,0.0156021,1,0,7105233,28292,5024.05,27.0296,9.71023,8464.37,0.177579,59.9768,3.34248,0,latest,0,6875274,0,0,1,0,0
30,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,0.862343,17.8545,81.2831,31.3735,0.134155,0.00227381,317,864,863,0.61369,9.31943,236.824,192433,272,57.6424,41.0184,866,236.824,0,244.313,5919552,31851.1,5376.86,28.4624,9.94929,9760.57,0.168813,57.6424,3.26324,0,latest,15661,6320924,0,0,0,0,0
31,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,24.2392,9.19018,66.5706,40.8101,1.13034,1.52548,96876,15811,15812,1.00708,19.4115,405.078,56466,82469,56.5777,19.9434,223,405.093,1,397.713,2932551,60536.1,7252.78,34.0221,12.841,19352,0.119809,56.5777,3.12816,0,latest,25489,5506235,0,0,1,8,9
32,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,99.2267,0.18315,0.590151,0.3256,3.6223,8.11966,2930,1,1,1.00708,19.4351,0.0156021,232162,2301,59.9738,0.22385,0,0.0156021,0,0.0156021,5318903,36416.9,4953.48,25.2261,11.6937,11309.4,0.136021,59.9738,3.22007,0,latest,1,8418021,0,0,0,0,0
33,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,72.9412,4.17112,22.8877,7.70053,0,0,0,2,2,1.00708,19.4335,0.0312042,233438,0,59.9738,14.0107,1,0.0312042,2,0,5310870,37381.1,5007.88,25.3411,11.7616,11326.5,0.133968,59.9738,3.30032,0,latest,0,8554134,0,0,2,0,0
34,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,100,0,0,0,0,0,0,0,0,1.00708,19.4335,0,233347,0,59.9745,0,0,0,0,0,5327167,37727.8,5021.59,25.3945,11.7974,11292,0.1331,59.9745,3.34109,0,latest,0,8620982,0,0,0,0,0
35,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,85.2136,2.6287,12.1577,2.95728,0,0,0,1,1,1.00708,19.4327,0.0156021,233302,0,59.9754,8.54326,1,0.0156021,1,0,5303356,37904.6,5026.39,25.524,11.7812,11340.9,0.132606,59.9754,3.34229,0,latest,0,8561076,0,0,1,0,0
36,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,100,0,0,0,0,0,0,0,0,1.00708,19.4327,0,233393,0,59.9747,0,0,0,0,0,5450692,36879.5,4893.69,25.8953,11.4825,11035.3,0.132694,59.9747,3.34195,0,latest,0,8254361,0,0,0,0,0
37,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,64.2802,9.10506,26.6148,11.2062,0,0,0,5,5,1.00708,19.4288,0.0780106,233251,0,59.975,13.7743,2,0.0780106,5,0,5294079,37968.6,4942.21,26.4817,11.627,11362.8,0.130166,59.975,3.3415,0,latest,0,8258586,0,0,5,0,0
38,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,100,0,0,0,0,0,0,0,0,1.00708,19.4288,0,233344,0,59.9745,0,0,0,0,0,5276748,38095.8,4919.25,26.4661,11.7749,11399.8,0.129128,59.9745,3.34181,0,latest,0,8325132,0,0,0,0,0
39,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,100,0,0,0,0,0,0,0,0,1.00708,19.4288,0,233490,0,59.9745,0,0,0,0,0,5270434,38143.5,4925.69,26.499,11.7859,11413.6,0.129136,59.9745,3.34193,0,latest,0,8335727,0,0,0,0,0
40,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,3.40536,16.0675,80.5272,33.769,0.730417,0.0373702,3075,2065,2065,0.935484,7.63257,274.925,178165,2744,57.5196,38.524,972,274.925,0,276.267,4076482,45940.8,5632.23,29.0686,12.2469,14144.1,0.122597,57.5196,3.24806,0,latest,17707,7319006,0,0,0,1,1
41,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,23.639,8.9687,67.3923,37.6864,1.54146,1.45262,96072,15124,15124,1.00787,19.6058,382.798,47049,82418,56.537,23.7257,235,382.813,1,381.503,2707583,65462.2,7299.71,35.4335,12.9842,20944.8,0.11151,56.537,3.12546,0,latest,24452,5012412,0,0,1,4,5
42,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,93.8715,1.1306,4.99789,1.81741,5.05072,8.70668,5335,6,6,1.00787,19.5035,0.0936127,230755,4251,59.9735,2.95858,2,0.0936127,4,0.0312042,5451027,35407.6,4873.24,24.7228,11.2962,11035.6,0.137632,59.9735,3.20849,0,latest,2,8322552,0,0,4,0,0
43,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,77.1739,4.74308,18.083,7.11462,0,0,0,2,2,1.00787,19.502,0.0312042,233297,0,59.9754,9.98024,0,0.0312042,2,0,5406672,36578.1,4954.86,24.9263,11.4118,11124.7,0.13546,59.9754,3.28802,0,latest,0,8497131,0,0,2,0,0
44,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0077,78.8655,4.94053,16.194,6.3129,0,0,0,2,2,1.00787,19.5004,0.0312042,233260,0,59.976,8.78317,0,0.0312042,2,0,5437579,36955,4949.43,24.9977,11.5504,11061.5,0.133931,59.976,3.34087,0,latest,0,8746562,0,0,2,0,0
45,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0077,68.5771,5.43478,25.9881,7.50988,0,0,0,2,2,1.00787,19.4988,0.0312042,233265,0,59.9757,16.996,1,0.0312042,2,0,5929684,33899.7,4704.29,24.2681,11.1291,10142.7,0.138771,59.9757,3.34226,0,latest,0,8763317,0,0,2,0,0
46,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0077,100,0,0,0,0,0,0,0,0,1.00787,19.4988,0,233390,0,59.976,0,0,0,0,0,5970979,33669.5,4682.85,24.2037,11.077,10074.2,0.139083,59.976,3.34216,0,latest,0,8775830,0,0,0,0,0
47,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0077,100,0,0,0,0,0,0,0,0,1.00787,19.4988,0,233411,0,59.9757,0,0,0,0,0,5967595,33687.3,4681.74,24.1828,11.0663,10079.4,0.138977,59.9757,3.34219,0,latest,0,8762073,0,0,0,0,0
48,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0077,100,0,0,0,0,0,0,0,0,1.00787,19.4988,0,233423,0,59.975,0,0,0,0,0,5994021,33536.6,4669.89,24.1736,11.0541,10034.2,0.139248,59.975,3.34223,0,latest,0,8764256,0,0,0,0,0
49,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0078,76.4085,5.19366,18.3979,6.95423,0,0,0,3,3,1.00787,19.4965,0.0468063,233311,0,59.9764,10.6514,0,0.0468063,3,0,6349495,31656.1,4396.82,25.732,10.3979,9471.88,0.138893,59.9764,3.34212,0,latest,0,7912841,0,0,3,0,0
50,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0077,5.01655,14.6205,80.3629,35.498,0.826897,0.0810549,6059,3308,3308,0.937057,8.00551,308.22,164153,5440,57.2676,36.9437,993,308.22,1,309.577,4912721,37636.9,4834.14,30.0123,10.1722,11685.5,0.128442,57.2676,3.22083,0,latest,19842,5976588,0,0,1,2,2
51,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,23.9488,8.76075,67.2904,37.337,1.53181,1.46659,91444,14056,14056,1.00865,19.2203,347.646,54456,78565,56.7439,23.9366,156,347.662,1,346.492,2720097,65626.9,7406.97,33.9606,13.016,20924.4,0.112865,56.7439,3.13639,0,latest,22208,5330948,0,0,1,14,18
52,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,97.8989,0.546635,1.55449,1.00786,3.86061,8.507,3523,3,3,1.00865,19.0024,0.0468063,231769,2790,59.974,0.461223,0,0.0468063,0,0.0468063,5135859,38385.5,5247.16,24.6317,11.4673,11711.6,0.136696,59.974,3.27758,0,latest,3,8412335,0,0,0,0,0
53,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,75.2848,3.68098,21.0342,5.43383,0,0,0,1,1,1.00865,19.0016,0.0156021,233447,0,59.9747,14.7239,2,0.0156021,1,0,5695899,35164.1,4940.61,23.9427,11.0048,10560.1,0.140501,59.9747,3.3299,0,latest,0,8529936,0,0,1,0,0
54,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,89.5023,1.90045,8.59729,3.07692,4.34389,3.61991,208,1,1,1.00865,19.0378,0.0156021,233438,157,59.9743,5.15837,0,0.0156021,1,0,5896528,34095.5,4836.28,23.814,10.8663,10201.9,0.141845,59.9743,3.34207,0,latest,0,8614602,0,0,1,0,0
55,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,82.6087,3.26087,14.1304,4.07609,0,0,0,1,1,1.00865,19.037,0.0156021,233367,0,59.9762,9.42029,1,0.0156021,1,0,7017108,28647.5,4336.68,25.8423,10.1649,8570.33,0.151381,59.9762,3.34264,0,latest,0,8431761,0,0,1,0,0
56,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,100,0,0,0,0,0,0,0,0,1.00865,19.037,0,233363,0,59.9744,0,0,0,0,0,7187070,27969.8,4276.19,26.122,10.0768,8368.73,0.152886,59.9744,3.34217,0,latest,0,8413459,0,0,0,0,0
57,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,100,0,0,0,0,0,0,0,0,1.00865,19.037,0,233391,0,59.9751,0,0,0,0,0,7206846,27897,4268.56,26.0838,10.0707,8345.58,0.153011,59.9751,3.34273,0,latest,0,8417968,0,0,0,0,0
58,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,100,0,0,0,0,0,0,0,0,1.00865,19.037,0,233414,0,59.9748,0,0,0,0,0,7204651,27906.1,4266.95,26.1363,10.0588,8348.16,0.152904,59.9748,3.34278,0,latest,0,8379102,0,0,0,0,0
