t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_contention_management,c_backoff_strategy,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
28,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3519793,0,53.9452,0,0,0,0,0,57809343,2882.74,2301.59,29.7819,10.575,934.978,0.798406,53.9452,3.08321,0,latest,0,3426,0,0,0,0,0
29,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3528789,0,53.9459,0,0,0,0,0,57793799,2880.18,2301.7,29.8116,10.5759,935.213,0.799152,53.9459,3.0797,0,latest,0,3440,0,0,0,0,0
0,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,7481396,0,2.26611,0,0,0,10434124,0,449,889.889,609.541,31.6659,5.34521,3797.14,0.684963,2.26611,0.234357,0,latest,0,0,293109,0,0,0,0
1,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3690147,0,53.8601,0,0,0,0,0,44077760,2210.52,2233.88,32.9303,10.5474,1224.99,1.01057,53.8601,1.80452,0,latest,0,2456,0,0,0,0,0
2,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3654265,0,53.9439,0,0,0,0,0,52244594,2555.45,2231.84,30.5671,10.5229,1034.54,0.873365,53.9439,2.47014,0,latest,0,2999,0,0,0,0,0
3,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3499169,0,53.9464,0,0,0,0,0,58551339,2894.5,2232.16,28.827,10.5267,923.126,0.771174,53.9464,3.13554,0,latest,0,3524,0,0,0,0,0
4,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3484484,0,53.9457,0,0,0,0,0,58682799,2905.61,2232.16,28.8114,10.5253,921.045,0.768222,53.9457,3.15469,0,latest,0,3453,0,0,0,0,0
5,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3479298,0,53.946,0,0,0,0,0,58631781,2904.47,2232.22,28.8075,10.5264,921.847,0.768549,53.946,3.1507,0,latest,0,3369,0,0,0,0,0
6,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3469515,0,53.9462,0,0,0,0,0,58561720,2902.25,2231.77,28.7971,10.5228,922.964,0.768979,53.9462,3.14449,0,latest,0,3620,0,0,0,0,0
7,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3471136,0,53.9464,0,0,0,0,0,58554600,2901.18,2232.2,28.8078,10.5264,923.03,0.769409,53.9464,3.14311,0,latest,0,3485,0,0,0,0,0
8,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3470237,0,53.9459,0,0,0,0,0,58542331,2900.4,2232.26,28.8115,10.5261,923.193,0.769639,53.9459,3.1417,0,latest,0,3598,0,0,0,0,0
9,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3468007,0,53.9459,0,0,0,0,0,58517932,2899.71,2232.26,28.8204,10.5259,923.619,0.769823,53.9459,3.13951,0,latest,0,3519,0,0,0,0,0
10,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3467424,0,53.9461,0,0,0,0,0,58529278,2899.34,2232.25,28.8345,10.5255,923.453,0.769916,53.9461,3.13967,0,latest,0,3537,0,0,0,0,0
11,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3464371,0,53.946,0,0,0,0,0,58518419,2899.74,2232.22,28.8304,10.5257,923.645,0.769799,53.946,3.13945,0,latest,0,3539,0,0,0,0,0
12,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3469391,0,53.9461,0,0,0,0,0,58558296,2898.42,2232.16,28.8426,10.5245,922.968,0.770132,53.9461,3.14033,0,latest,0,3606,0,0,0,0,0
13,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3468649,0,53.9452,0,0,0,0,0,58561442,2898.49,2232.13,28.8339,10.5252,922.883,0.770103,53.9452,3.14069,0,latest,0,3507,0,0,0,0,0
14,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3467888,0,53.9457,0,0,0,0,0,58574510,2898.31,2232.12,28.8432,10.5254,922.713,0.770146,53.9457,3.14107,0,latest,0,3470,0,0,0,0,0
15,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3468770,0,53.946,0,0,0,0,0,58589313,2897.72,2232.2,28.8504,10.5234,922.407,0.770329,53.946,3.14148,0,latest,0,3616,0,0,0,0,0
16,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3462125,0,53.9457,0,0,0,0,0,58496681,2896.58,2232.16,28.844,10.5251,923.923,0.770618,53.9457,3.13509,0,latest,0,3471,0,0,0,0,0
17,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3460118,0,53.9456,0,0,0,0,0,58531385,2894.67,2232.09,28.8521,10.5237,923.335,0.771104,53.9456,3.13501,0,latest,0,3466,0,0,0,0,0
18,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3459292,0,53.9461,0,0,0,0,0,58493819,2893.28,2232.23,28.856,10.524,923.963,0.77152,53.9461,3.13138,0,latest,0,3557,0,0,0,0,0
19,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3457333,0,53.9458,0,0,0,0,0,58473637,2892.66,2232.15,28.8499,10.5242,924.267,0.771661,53.9458,3.12968,0,latest,0,3580,0,0,0,0,0
20,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3454410,0,53.9459,0,0,0,0,0,58450586,2891.88,2232.09,28.859,10.524,924.621,0.771845,53.9459,3.12764,0,latest,0,3530,0,0,0,0,0
21,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3457352,0,53.9457,0,0,0,0,0,58275417,2884.85,2232.17,28.8645,10.5251,927.432,0.773756,53.9457,3.11058,0,latest,0,3542,0,0,0,0,0
22,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3455963,0,53.9467,0,0,0,0,0,58306443,2882.87,2232.15,28.8753,10.5244,926.916,0.77428,53.9467,3.11017,0,latest,0,3468,0,0,0,0,0
23,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3451028,0,53.946,0,0,0,0,0,58383407,2887.47,2232.12,28.8532,10.5237,925.703,0.773039,53.946,3.11922,0,latest,0,3588,0,0,0,0,0
24,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3447345,0,53.9467,0,0,0,0,0,58389837,2889.02,2232.13,28.8417,10.5242,925.636,0.772625,53.9467,3.12112,0,latest,0,3583,0,0,0,0,0
25,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3444315,0,53.9456,0,0,0,0,0,58372712,2887.93,2232.1,28.8482,10.5225,925.886,0.772905,53.9456,3.1191,0,latest,0,3613,0,0,0,0,0
26,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3441955,0,53.9461,0,0,0,0,0,58328393,2888.25,2232.16,28.851,10.5244,926.559,0.772844,53.9461,3.11717,0,latest,0,3495,0,0,0,0,0
27,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3441137,0,53.9457,0,0,0,0,0,58346718,2886.36,2232.14,28.861,10.5243,926.258,0.773342,53.9457,3.11615,0,latest,0,3531,0,0,0,0,0
28,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3437457,0,53.9465,0,0,0,0,0,58350321,2885.56,2232.14,28.8575,10.5242,926.189,0.773556,53.9465,3.11552,0,latest,0,3469,0,0,0,0,0
29,54,1,1,4,6,200,150,0.5,0,0,1,0,10,100000,0.1,159.212,100,0,0,0,0,0,0,0,0,17.9063,0,0,3442067,0,53.9457,0,0,0,0,0,58372387,2885.18,2232.12,28.8765,10.5241,925.89,0.773649,53.9457,3.11612,0,latest,0,3568,0,0,0,0,0
0,54,1,1,4,6,200,150,0.5,0,0,2,0,10,100000,0.1,159.199,100,0,0,0,0,0,0,0,0,17.9133,0,0,8068521,0,2.18148,0,0,0,10433235,0,428,752.182,376.582,20.6729,4.55841,3719.64,0.500652,2.18148,0.202219,0,latest,0,0,337232,0,0,0,0
1,54,1,1,4,6,200,150,0.5,0,0,2,0,10,100000,0.1,159.199,100,0,0,0,0,0,0,0,0,17.9133,0,0,3590479,0,53.8468,0,0,0,0,0,43840504,2239.8,2293.03,33.0747,10.7188,1231.41,1.02376,53.8468,1.8189,0,latest,0,2448,0,0,0,0,0
2,54,1,1,4,6,200,150,0.5,0,0,2,0,10,100000,0.1,159.199,100,0,0,0,0,0,0,0,0,17.9133,0,0,3658782,0,53.9432,0,0,0,0,0,50487820,2493.06,2290.97,31.2336,10.6935,1070.56,0.918939,53.9432,2.32874,0,latest,0,3001,0,0,0,0,0
3,54,1,1,4,6,200,150,0.5,0,0,2,0,10,100000,0.1,159.199,100,0,0,0,0,0,0,0,0,17.9133,0,0,3446184,0,53.9465,0,0,0,0,0,57815682,2871.14,2291.35,29.0915,10.6977,934.88,0.79806,53.9465,3.07114,0,latest,0,3653,0,0,0,0,0
4,54,1,1,4,6,200,150,0.5,0,0,2,0,10,100000,0.1,159.199,100,0,0,0,0,0,0,0,0,17.9133,0,0,3424626,0,53.9467,0,0,0,0,0,58022560,2888.91,2291.34,29.0334,10.6973,931.53,0.79315,53.9467,3.10126,0,latest,0,3609,0,0,0,0,0
5,54,1,1,4,6,200,150,0.5,0,0,2,0,10,100000,0.1,159.199,100,0,0,0,0,0,0,0,0,17.9133,0,0,3417419,0,53.9471,0,0,0,0,0,58004298,2888.2,2291.32,29.0364,10.6966,931.802,0.793337,53.9471,3.09959,0,latest,0,3523,0,0,0,0,0
6,54,1,1,4,6,200,150,0.5,0,0,2,0,10,100000,0.1,159.199,100,0,0,0,0,0,0,0,0,17.9133,0,0,3426233,0,53.947,0,0,0,0,0,57823362,2882.42,2291.45,29.0533,10.6999,934.676,0.794974,53.947,3.08387,0,latest,0,3667,0,0,0,0,0
7,54,1,1,4,6,200,150,0.5,0,0,2,0,10,100000,0.1,159.199,100,0,0,0,0,0,0,0,0,17.9133,0,0,3429558,0,53.9482,0,0,0,0,0,57849723,2879.79,2291.22,29.0582,10.6974,934.234,0.79562,53.9482,3.08251,0,latest,0,3553,0,0,0,0,0
8,54,1,1,4,6,200,150,0.5,0,0,2,0,10,100000,0.1,159.199,100,0,0,0,0,0,0,0,0,17.9133,0,0,3420857,0,53.9474,0,0,0,0,0,57909720,2885.01,2291.43,29.0272,10.6992,933.159,0.794253,53.9474,3.09166,0,latest,0,3527,0,0,0,0,0
9,54,1,1,4,6,200,150,0.5,0,0,2,0,10,100000,0.1,159.199,100,0,0,0,0,0,0,0,0,17.9133,0,0,3415613,0,53.9473,0,0,0,0,0,57915021,2887.93,2291.57,29.0087,10.699,933.198,0.793501,53.9473,3.09466,0,latest,0,3603,0,0,0,0,0
10,54,1,1,4,6,200,150,0.5,0,0,2,0,10,100000,0.1,159.199,100,0,0,0,0,0,0,0,0,17.9133,0,0,3418368,0,53.9469,0,0,0,0,0,57817716,2882.42,2291.51,29.039,10.6988,934.758,0.794997,53.9469,3.0836,0,latest,0,3490,0,0,0,0,0
11,54,1,1,4,6,200,150,0.5,0,0,2,0,10,100000,0.1,159.199,100,0,0,0,0,0,0,0,0,17.9133,0,0,3415373,0,53.9475,0,0,0,0,0,57694081,2878.43,2291.62,29.0407,10.7012,936.804,0.796135,53.9475,3.07261,0,latest,0,3462,0,0,0,0,0
12,54,1,1,4,6,200,150,0.5,0,0,2,0,10,100000,0.1,159.199,100,0,0,0,0,0,0,0,0,17.9133,0,0,3415359,0,53.9472,0,0,0,0,0,57718065,2878.37,2291.5,29.0288,10.6995,936.385,0.796111,53.9472,3.07392,0,latest,0,3569,0,0,0,0,0
