t,tpcc_warehouse_count,tpcc_warehouse_affinity,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
6,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,17001407098011563720,29.90,1959552,nan,nan,nan,nan,nan,nan,0,0,0,61.46,0.00,0,0.00,0,0,0,nan,0,0.00,130350,0.00,1946860
7,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,17001407098011563720,31.90,2090404,nan,nan,nan,nan,nan,nan,0,0,0,58.88,0.00,0,0.00,0,0,0,nan,0,0.00,134097,0.00,2006236
8,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,17001407098011563720,33.85,2218690,nan,nan,nan,nan,nan,nan,0,0,0,56.36,0.00,0,0.00,0,0,0,nan,0,0.00,131391,0.00,1952015
9,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,17001407098011563720,35.77,2344215,nan,nan,nan,nan,nan,nan,0,0,0,53.89,0.00,0,0.00,0,0,0,nan,0,0.00,128650,0.00,1923038
0,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,2516659146103900695,18.26,1196945,nan,nan,nan,nan,nan,nan,0,0,0,76.46,0.00,0,0.00,0,0,0,nan,0,0.00,1196945,0.00,0
1,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,2516659146103900695,20.22,1325301,nan,nan,nan,nan,nan,nan,0,0,0,73.93,0.00,0,0.00,0,0,0,nan,0,0.00,130686,0.00,1978021
2,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,2516659146103900695,22.15,1451745,nan,nan,nan,nan,nan,nan,0,0,0,71.44,0.00,0,0.00,0,0,0,nan,0,0.00,129569,0.00,1933985
3,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,2516659146103900695,24.16,1583240,nan,nan,nan,nan,nan,nan,0,0,0,68.86,0.00,0,0.00,0,0,0,nan,0,0.00,134763,0.00,2015648
4,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,2516659146103900695,26.17,1715130,nan,nan,nan,nan,nan,nan,0,0,0,66.26,0.00,0,0.00,0,0,0,nan,0,0.00,135160,0.00,2022449
5,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,2516659146103900695,28.25,1851703,nan,nan,nan,nan,nan,nan,0,0,0,63.58,0.00,0,0.00,0,0,0,nan,0,0.00,139907,0.00,2078106
6,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,2516659146103900695,30.33,1987440,nan,nan,nan,nan,nan,nan,0,0,0,60.91,0.00,0,0.00,0,0,0,nan,0,0.00,139091,0.00,2078312
7,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,2516659146103900695,32.24,2112583,nan,nan,nan,nan,nan,nan,0,0,0,58.45,0.00,0,0.00,0,0,0,nan,0,0.00,128252,0.00,1915467
8,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,2516659146103900695,34.27,2246246,nan,nan,nan,nan,nan,nan,0,0,0,55.82,0.00,0,0.00,0,0,0,nan,0,0.00,136951,0.00,2035908
9,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,2516659146103900695,36.25,2375872,nan,nan,nan,nan,nan,nan,0,0,0,53.27,0.00,0,0.00,0,0,0,nan,0,0.00,132855,0.00,1986610
0,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,5298450372818021434,18.26,1196482,nan,nan,nan,nan,nan,nan,0,0,0,76.47,0.00,0,0.00,0,0,0,nan,0,0.00,1196482,0.00,0
