t,tpcc_warehouse_count,tpcc_warehouse_affinity,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
6,100,0,arm,1,32,0,1,1,20,0,6,40,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,7899501542757695488,24.89,1631213,NA,NA,NA,NA,NA,NA,0,0,0,35.83,0,0,0,0,0,0,NA,0,0,74220,0,1109027
6,100,0,arm,1,40,0,1,1,20,0,6,40,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,9330024357621747712,26.58,1741760,NA,NA,NA,NA,NA,NA,0,0,0,31.48,0,0,0,0,0,0,NA,0,0,92992,0,1375486
6,100,0,arm,1,40,0,1,1,20,0,6,40,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,4037101970935451648,26.54,1739333,NA,NA,NA,NA,NA,NA,0,0,0,31.58,0,0,0,0,0,0,NA,0,0,92742,0,1372067
6,100,0,arm,1,48,0,1,1,20,0,6,40,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,3035133312441410560,28.13,1843434,NA,NA,NA,NA,NA,NA,0,0,0,27.48,0,0,0,0,0,0,NA,0,0,110557,0,1643549
6,100,0,arm,1,48,0,1,1,20,0,6,40,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,7385639101203112960,28.14,1844337,NA,NA,NA,NA,NA,NA,0,0,0,27.45,0,0,0,0,0,0,NA,0,0,110563,0,1645484
6,100,0,arm,1,50,0,1,1,20,0,6,40,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,3017191469097433088,28.49,1866828,NA,NA,NA,NA,NA,NA,0,0,0,26.56,0,0,0,0,0,0,NA,0,0,114342,0,1706570
6,100,0,arm,1,50,0,1,1,20,0,6,40,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,7266251940995549184,28.54,1870427,NA,NA,NA,NA,NA,NA,0,0,0,26.42,0,0,0,0,0,0,NA,0,0,115171,0,1718634
6,100,0,arm,1,60,0,1,1,20,0,6,40,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,12389547083260903424,30.32,1987212,NA,NA,NA,NA,NA,NA,0,0,0,21.83,0,0,0,0,0,0,NA,0,0,135783,0,2020505
6,100,0,arm,1,60,0,1,1,20,0,6,40,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,6131234151019573248,30.45,1995496,NA,NA,NA,NA,NA,NA,0,0,0,21.5,0,0,0,0,0,0,NA,0,0,136842,0,2039977
6,100,0,arm,1,64,0,1,1,20,0,6,80,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,10997497619263199232,31.09,2037386,NA,NA,NA,NA,NA,NA,0,0,0,59.93,0,0,0,0,0,0,NA,0,0,143613,0,2139179
6,100,0,arm,1,64,0,1,1,20,0,6,80,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,10413650959297613824,31.05,2034779,NA,NA,NA,NA,NA,NA,0,0,0,59.98,0,0,0,0,0,0,NA,0,0,144504,0,2154985
6,100,0,arm,1,70,0,1,1,20,0,6,80,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,6793318692828747776,30.56,2003004,NA,NA,NA,NA,NA,NA,0,0,0,60.6,0,0,0,0,0,0,NA,0,0,136847,0,2040400
6,100,0,arm,1,70,0,1,1,20,0,6,80,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,10512497704704825344,30.77,2016307,NA,NA,NA,NA,NA,NA,0,0,0,60.34,0,0,0,0,0,0,NA,0,0,141525,0,2111933
6,100,0,arm,1,80,0,1,1,20,0,6,80,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,17001407098011564032,29.9,1959552,NA,NA,NA,NA,NA,NA,0,0,0,61.46,0,0,0,0,0,0,NA,0,0,130350,0,1946860
6,100,0,arm,1,80,0,1,1,20,0,6,80,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,2516659146103900672,30.33,1987440,NA,NA,NA,NA,NA,NA,0,0,0,60.91,0,0,0,0,0,0,NA,0,0,139091,0,2078312
6,100,0,arm,1,90,0,1,1,20,0,6,80,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,5298450372818021376,29.09,1906661,NA,NA,NA,NA,NA,NA,0,0,0,62.5,0,0,0,0,0,0,NA,0,0,119370,0,1781999
6,100,0,arm,1,90,0,1,1,20,0,6,80,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,858817453321308416,29.81,1953531,NA,NA,NA,NA,NA,NA,0,0,0,61.57,0,0,0,0,0,0,NA,0,0,132628,0,1982739
6,100,0,arm,1,96,0,1,1,20,0,6,80,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16661937378305423360,28.19,1847175,NA,NA,NA,NA,NA,NA,0,0,0,63.67,0,0,0,0,0,0,NA,0,0,105569,0,1576123
6,100,0,arm,1,96,0,1,1,20,0,6,80,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,5655007786931093504,29.21,1914407,NA,NA,NA,NA,NA,NA,0,0,0,62.34,0,0,0,0,0,0,NA,0,0,120072,0,1794852
