t,tpcc_warehouse_count,tpcc_warehouse_affinity,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,symbol
12,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.08,120067382,4.04,15.34,80.62,42.04,1.05,402219781238091,13996,14409,14407,0.73,6.51,19,3688.98,2156,12906,12644,25.15,146248,3676.42,144,3713.66,19553,1
12,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1163.65,76261234,25.95,6.83,67.23,55.53,4.24,74497825848099.4,156304,56439,56440,0.38,4.65,19,1686.37,4224,148567,110081,8.26,3738,1550.91,2076,2203.92,12035,4
13,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.66,119843028,13.32,8.81,77.86,63.9,4.29,25317756124147.2,121110,118165,118163,0.36,4.72,19,1755.21,9783,115088,112912,9.42,5003,1678.91,62,1768.59,8522,1
13,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.08,120067514,45.55,13.1,41.35,15.48,13.3,212223437125706,218219,1116,1118,0.54,6.63,19,2760.23,72,202841,198764,16.47,113046,2660.47,133,3198.64,17610,1
13,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1163.24,76233943,23.95,6.15,69.9,59.11,3.94,294008580839097,138486,49731,49730,0.38,4.65,19,1504.87,3790,131515,98432,7.31,5394,1377.51,1818,1929.4,10583,4
14,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.66,119843098,14.11,9.43,76.46,60.7,4.47,435968090293872,122968,162197,162199,0.37,4.72,19,1758.37,13794,116722,114577,10.44,5160,1675.67,72,1729.98,8355,1
14,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.09,120067634,40.48,13.84,45.68,18.08,12.21,416608036676661,212798,668,668,0.48,6.7,19,2829.96,44,197757,193740,17.39,124133,2659.13,122,2981.66,16232,1
14,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1162.65,76195465,27.4,7.03,65.57,50.8,5.06,324442913462904,198347,75415,75415,0.39,4.65,19,2160.3,5413,188633,141774,10.69,4424,1967.5,2484,2722.9,15095,4
15,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.66,119843162,14.27,9.73,75.99,59.29,4.53,363047252388313,124744,226582,226582,0.4,4.73,19,1779.33,20100,118566,116296,11.19,5106,1690.72,65,1714.39,8707,1
15,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.09,120067751,42.38,13.23,44.39,18.23,11.56,338547635061318,214442,664,662,0.47,6.79,19,2789.86,40,199478,195452,16.53,123724,2615.54,117,2810.24,15133,1
15,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1162.11,76159912,26.23,7.07,66.7,52.46,4.92,139855712427189,191210,72934,72934,0.39,4.65,19,2111.26,5269,181667,138059,10.34,4236,1914.27,2438,2681.1,15660,4
16,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.66,119843222,13.04,9.31,77.64,61.19,4.4,90632278692115.6,119506,273368,273367,0.39,4.73,19,1716.95,24361,113557,111392,10.92,5377,1627.67,61,1729.46,8937,1
16,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.09,120067875,40.39,13.92,45.69,18.77,11.68,393608927337563,213293,677,678,0.41,6.83,19,2874.77,40,198193,194106,17,123854,2686.87,127,3014.67,16890,1
16,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1161.54,76122766,26.99,7.06,65.95,49.79,5.09,395802224389730,208916,79481,79480,0.38,4.64,19,2337.2,5658,198463,152343,11.76,4814,2112.78,2693,2947.07,17877,4
17,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.66,119843276,13.25,9.26,77.49,60.43,4.5,14938826869250.5,121350,289459,289459,0.41,4.74,19,1737.28,25935,115356,113094,11.33,5783,1640.03,54,1689.69,8389,1
17,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.09,120067992,42.27,13.59,44.14,17.56,12.15,371427985600957,214020,657,657,0.37,6.9,19,2795.54,44,198768,194731,16.85,120377,2603.34,121,2874.14,16149,1
17,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1160.98,76085901,27.2,6.98,65.82,48.78,5.35,176767137689329,214601,84426,84426,0.37,4.64,19,2416.75,5946,203918,158030,12.44,5907,2169.18,2602,3009.65,18266,4
18,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.66,119843332,13.77,9.79,76.44,58.76,4.5,19707224369977.5,121235,314983,314984,0.41,4.74,19,1744.86,27201,115246,112998,11.68,5882,1643.15,59,1748.9,9169,1
18,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.09,120068099,40.35,13.8,45.85,18.25,11.72,105786274677548,208652,678,678,0.33,6.9,19,2901.68,40,194006,190025,17.57,123969,2681.25,113,3009.88,17066,1
18,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1160.46,76052044,27.07,7.11,65.82,49.53,5.29,42049614285831.3,205804,78173,78173,0.38,4.64,19,2322.62,5567,195653,153282,11.92,5685,2072.99,2388,2817.98,17059,4
19,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.67,119843415,13.92,9.81,76.28,57.58,4.71,331223856153556,125828,313365,313365,0.41,4.74,19,1807.6,27197,119492,117203,12.43,5945,1697.78,83,1802.93,9132,1
19,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.1,120068218,40.68,14.2,45.12,17.52,12.44,119573081936159,221064,652,653,0.33,6.98,19,2880.43,44,205300,201038,17.43,120137,2597.46,119,2876.98,16620,1
19,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1159.95,76018388,26.04,7.03,66.94,50.22,5.14,260374572203490,212214,81542,81543,0.36,4.64,19,2435.38,5737,201822,159339,12.17,5427,2165.17,2517,3001.38,18129,4
20,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.67,119843466,14,9.64,76.35,57.48,4.77,229534780930082,128371,288370,288370,0.42,4.74,19,1833.75,24755,121847,119516,12.6,5818,1717.32,60,1816.88,9808,1
20,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.1,120068346,43.99,14.37,41.64,14.94,12.14,362823997180533,214024,704,704,0.4,6.93,19,3088.91,44,198889,194876,16.72,119020,2767.94,129,2927.11,16746,1
20,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1159.54,75991595,23.8,6.5,69.7,56.46,4.56,295941674589978,174699,65416,65415,0.37,4.64,19,2013.69,4825,166211,132382,9.47,4800,1785.44,1970,2419.56,14842,4
21,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.67,119843537,13.86,9.76,76.39,58.27,4.65,368528271318140,124733,294735,294735,0.43,4.74,19,1784.05,25792,118551,116240,12.04,5684,1666.37,71,1764.51,9357,1
21,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.1,120068486,52.26,14.32,33.42,8.75,14.37,441174074338948,224350,760,759,0.46,6.9,19,3167.7,46,208330,204075,15.6,107494,2824.47,141,3021.32,18055,1
21,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1159.1,75962680,25.18,7.09,67.73,52.48,4.99,451692327773480,194988,81724,81724,0.38,4.64,19,2258.97,6026,185501,148771,11.02,4821,1987.27,2141,2680.21,16169,4
22,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.67,119843600,13.89,10.05,76.06,58.76,4.51,6102199536591.14,121691,296197,296198,0.41,4.74,19,1755.74,25799,115566,113252,11.49,5357,1636.01,63,1785.57,8839,1
22,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.1,120068601,50.11,14.89,35,9.57,14.09,349903692582478,214875,791,792,0.57,6.78,19,3247.22,49,199330,195364,16.15,109939,2884.63,115,2967.86,17637,1
22,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1158.73,75938308,23.27,7.06,69.67,56.64,4.68,37644421161620.6,169446,77597,77598,0.38,4.64,19,1967.41,5992,161064,129866,9.2,4001,1727.03,1917,2359.23,15302,4
23,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.67,119843652,13.86,9.51,76.63,60.72,4.43,29223901345804.8,121162,266802,266801,0.42,4.74,19,1734.67,23276,115014,112722,10.65,5534,1612.56,52,1730.1,9244,1
23,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.1,120068738,54.51,13.93,31.55,7.86,15.38,57641197038287.5,222703,891,888,0.55,6.79,19,3064.05,59,206810,202564,15.07,101478,2699.52,140,3114.34,18678,1
23,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1158.36,75914132,23.73,6.92,69.35,55.47,4.68,258091290933677,175809,79872,79872,0.38,4.64,19,2062.52,5895,167147,135990,9.77,4583,1806.79,1928,2438.84,15716,4
24,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.67,119843697,13.28,9.4,77.32,63.47,4.01,310851900073833,114066,230134,230134,0.42,4.74,19,1628.89,21864,108220,106132,9.1,4778,1507.02,53,1612.42,8071,1
24,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.11,120068877,52.89,14.01,33.1,9.67,14.4,362036371815473,214068,718,718,0.64,6.72,19,3096.6,44,198907,194792,14.88,104907,2723.77,141,2891.7,17434,1
24,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1158.01,75891656,23.68,7.34,68.97,54.69,4.86,82531559605292.6,168249,121649,121649,0.39,4.64,19,1973.93,9455,159973,130939,9.92,3979,1717.07,1670,2307.69,14543,4
