t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_cm_merge,c_su_merge,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,cm_threads_pro_page,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
25,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78323,100,0,0,0,0,0,0,0,0,81.6104,0,18446744073709551545,0,129658,0,0,119.92,0,0,0,0,0,299500181,1077.13,2169.48,0.53612,0.387731,402.763,2.01414,119.92,2.67435,0,contention,0,348351,0,0,0,0,0
26,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78323,100,0,0,0,0,0,0,0,0,81.6104,0,18446744073709551545,0,129992,0,0,119.915,0,0,0,0,0,297626714,1086.27,2170.88,0.540228,0.394857,405.281,1.99847,119.915,2.68028,0,contention,0,440600,0,0,0,0,0
27,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78323,100,0,0,0,0,0,0,0,0,81.6104,0,18446744073709551545,0,130122,0,0,119.926,0,0,0,0,0,298228120,1083.75,2172.07,0.5429,0.395028,404.461,2.00422,119.926,2.67948,0,contention,0,578110,0,0,0,0,0
28,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78323,100,0,0,0,0,0,0,0,0,81.6104,0,18446744073709551545,0,129595,0,0,119.921,0,0,0,0,0,299677559,1075.75,2169.2,0.535869,0.386479,402.506,2.01646,119.921,2.67262,0,contention,0,310227,0,0,0,0,0
29,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78325,100,0,0,0,0,0,0,0,0,81.6102,0,18446744073709551545,0,129807,0,0,119.922,0,0,0,1,0,298052373,1083.41,2171.3,0.538679,0.39235,404.685,2.00413,119.922,2.67717,0,contention,0,442242,0,0,1,0,0
30,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78325,100,0,0,0,0,0,0,0,0,81.6102,0,18446744073709551545,0,129588,0,0,119.913,0,0,0,0,0,297622533,1083.46,2176.77,0.531343,0.385896,405.247,2.00908,119.913,2.67358,0,contention,0,445619,0,0,0,0,0
31,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78325,100,0,0,0,0,0,0,0,0,81.6102,0,18446744073709551545,0,129482,0,0,119.92,0,0,0,0,0,299218506,1076.44,2174.78,0.529851,0.378526,403.095,2.02034,119.92,2.67044,0,contention,0,270438,0,0,0,0,0
32,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78325,100,0,0,0,0,0,0,0,0,81.6102,0,18446744073709551545,0,129178,0,0,119.927,0,0,0,0,0,300202955,1072.52,2175.25,0.526899,0.377426,401.786,2.02816,119.927,2.66939,0,contention,0,278656,0,0,0,0,0
33,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78325,100,0,0,0,0,0,0,0,0,81.6102,0,18446744073709551545,0,129373,0,0,119.921,0,0,0,0,0,296838811,1085.3,2178.96,0.539157,0.390986,406.303,2.00771,119.921,2.67115,0,contention,0,713379,0,0,0,0,0
34,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,129131,0,0,119.922,0,0,0,1,0,299017319,1075.11,2170.53,0.535167,0.384572,403.35,2.01889,119.922,2.66545,0,contention,0,517112,0,0,1,0,0
35,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128946,0,0,119.922,0,0,0,0,0,299576333,1071.49,2164.54,0.534304,0.385602,402.649,2.02013,119.922,2.6611,0,contention,0,461030,0,0,0,0,0
36,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128841,0,0,119.923,0,0,0,0,0,299611369,1070.85,2163.92,0.530168,0.386483,402.648,2.02075,119.923,2.65952,0,contention,0,461281,0,0,0,0,0
37,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128545,0,0,119.918,0,0,0,0,0,299626346,1068.76,2164.49,0.532057,0.385146,402.579,2.02524,119.918,2.65478,0,contention,0,461995,0,0,0,0,0
38,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128932,0,0,119.92,0,0,0,0,0,298004014,1077.75,2164.37,0.539534,0.391988,404.811,2.00823,119.92,2.66235,0,contention,0,453725,0,0,0,0,0
39,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,129035,0,0,119.919,0,0,0,0,0,297720176,1076.12,2164.86,0.547322,0.387116,405.18,2.01173,119.919,2.65589,0,contention,0,641354,0,0,0,0,0
40,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128756,0,0,119.92,0,0,0,0,0,297841614,1074.74,2164.89,0.54476,0.386615,405.04,2.01435,119.92,2.65341,0,contention,0,621228,0,0,0,0,0
41,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128764,0,0,119.924,0,0,0,0,0,297331656,1078.72,2164.95,0.540686,0.391361,405.734,2.00697,119.924,2.65868,0,contention,0,590935,0,0,0,0,0
42,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128748,0,0,119.92,0,0,0,0,0,297052914,1078.94,2165.15,0.548961,0.391354,406.084,2.00675,119.92,2.65693,0,contention,0,632300,0,0,0,0,0
43,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128407,0,0,119.926,0,0,0,0,0,297800523,1073.14,2164.86,0.545228,0.384278,405.092,2.01731,119.926,2.64914,0,contention,0,585323,0,0,0,0,0
44,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128344,0,0,119.921,0,0,0,0,0,297588951,1073.71,2165.01,0.544839,0.384167,405.374,2.01638,119.921,2.64869,0,contention,0,603922,0,0,0,0,0
45,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128296,0,0,119.923,0,0,0,0,0,299945885,1064.12,2162.72,0.531168,0.372867,402.188,2.0324,119.923,2.64583,0,contention,0,219640,0,0,0,0,0
46,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128180,0,0,119.919,0,0,0,0,0,300004394,1063.54,2162.35,0.525781,0.371845,402.106,2.03318,119.919,2.64491,0,contention,0,195659,0,0,0,0,0
47,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128269,0,0,119.919,0,0,0,0,0,300026392,1063.7,2162.08,0.532692,0.372679,402.078,2.03261,119.919,2.6455,0,contention,0,187881,0,0,0,0,0
48,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128106,0,0,119.922,0,0,0,0,0,300166060,1062.64,2162.31,0.536876,0.374146,401.862,2.03485,119.922,2.64429,0,contention,0,182360,0,0,0,0,0
49,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128019,0,0,119.921,0,0,0,0,0,299959535,1063.3,2162.44,0.53354,0.374431,402.167,2.03372,119.921,2.64391,0,contention,0,203855,0,0,0,0,0
50,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78326,100,0,0,0,0,0,0,0,0,81.6101,0,18446744073709551545,0,128082,0,0,119.92,0,0,0,0,0,300330909,1062.2,2162.71,0.539065,0.374129,401.66,2.03606,119.92,2.64454,0,contention,0,194824,0,0,0,0,0
51,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78328,100,0,0,0,0,0,0,0,0,81.6099,0,18446744073709551545,0,128219,0,0,119.914,0,0,0,1,0,297519364,1072.65,2163.71,0.538648,0.381296,405.427,2.01716,119.914,2.64574,0,contention,0,222248,0,0,1,0,0
52,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78329,100,0,0,0,0,0,0,0,0,81.6098,0,18446744073709551545,0,127933,0,0,119.925,0,0,0,1,0,297567870,1071.38,2173.17,0.502881,0.39136,405.339,2.02838,119.925,2.64317,0,contention,0,228915,0,0,1,0,0
53,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78329,100,0,0,0,0,0,0,0,0,81.6098,0,18446744073709551545,0,127767,0,0,119.92,0,0,0,0,0,297852011,1069.61,2175.24,0.502102,0.389186,404.944,2.03367,119.92,2.64138,0,contention,0,222074,0,0,0,0,0
54,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78329,100,0,0,0,0,0,0,0,0,81.6098,0,18446744073709551545,0,127515,0,0,119.922,0,0,0,0,0,299312849,1062.09,2175.57,0.495805,0.381324,403,2.04839,119.922,2.63546,0,contention,0,220192,0,0,0,0,0
55,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78329,100,0,0,0,0,0,0,0,0,81.6098,0,18446744073709551545,0,127686,0,0,119.918,0,0,0,0,0,298880508,1064.48,2175.66,0.495935,0.383018,403.605,2.04387,119.918,2.63742,0,contention,0,216494,0,0,0,0,0
56,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78329,100,0,0,0,0,0,0,0,0,81.6098,0,18446744073709551545,0,127625,0,0,119.907,0,0,0,0,0,297676282,1067.75,2175.91,0.505741,0.384334,405.203,2.03784,119.907,2.6351,0,contention,0,220057,0,0,0,0,0
57,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78329,100,0,0,0,0,0,0,0,0,81.6098,0,18446744073709551545,0,127471,0,0,119.923,0,0,0,0,0,297842579,1066.7,2175.85,0.497275,0.384097,405.037,2.0398,119.923,2.63358,0,contention,0,211915,0,0,0,0,0
