t,name,c_hash,cycle,cycle-kernel,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz
33,merge,14027147587509752595,4194045437.08,9430204.79,2619732867.82,34646846.29,20030682.29,22211271.69,1000206184.00,0.62,1.00,4.19
34,merge,14027147587509752595,4214187861.46,11154889.82,2647893880.54,35014984.01,19979109.89,22552254.91,1006852886.00,0.63,1.00,4.19
35,merge,14027147587509752595,4209013447.23,9006977.03,2648842098.95,35019910.91,19746565.66,22507553.99,1000166508.00,0.63,1.00,4.21
36,merge,14027147587509752595,4206719097.00,7827814.46,2651290623.14,35012972.86,19801445.45,22492998.98,1000214654.00,0.63,1.00,4.21
37,merge,14027147587509752595,4221719481.33,7828826.66,2652416379.42,35002398.74,19852369.03,22496139.59,1000177837.00,0.63,1.00,4.22
38,merge,14027147587509752595,4216511751.13,6410802.71,2651954311.13,34942189.76,19851013.99,22476506.65,1000174455.00,0.63,1.00,4.22
39,merge,14027147587509752595,4243773954.03,6190018.83,2652399717.74,34990160.84,20122792.10,22522100.18,1006850833.00,0.63,1.00,4.21
40,merge,14027147587509752595,4227917573.98,6339726.15,2658566602.08,35059156.85,19927860.71,22524671.84,1000181172.00,0.63,1.00,4.23
41,merge,14027147587509752595,2846722201.70,371243424.13,2072706754.84,25463320.27,14633794.68,13333314.25,678490202.00,0.73,0.68,4.20
7,merge,4954205518123341369,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
8,merge,4954205518123341369,4199927752.13,126455901.94,4328045955.03,106594096.26,41123806.75,17306701.06,1000159153.00,1.03,1.00,4.20
9,merge,4954205518123341369,4217342149.21,21426455.52,4404836019.95,106399313.51,39432037.92,18384278.49,1000208541.00,1.04,1.00,4.22
10,merge,4954205518123341369,4226994885.11,9495343.69,4254361152.29,98296135.94,36051025.96,18903464.55,1000187530.00,1.01,1.00,4.23
11,merge,4954205518123341369,4218905603.72,7714214.36,3819482340.34,81846562.35,30572143.99,19564705.45,1000199992.00,0.91,1.00,4.22
12,merge,4954205518123341369,4234836362.90,6733502.53,3229072622.67,58165767.74,23946516.81,20437521.84,1000241135.00,0.76,1.00,4.23
13,merge,4954205518123341369,4211760801.31,6058839.85,2786953952.17,40526989.84,19295163.85,20941289.78,1000211312.00,0.66,1.00,4.21
