t,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,c_backoff,c_mutex,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
20,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,90.468,1.008,8.52398,6.89056,0.462608,5.77206,681136,610,610,1.00865,63.7624,78,57.0413,122714,237325,234939,105.601,1.03218,44,55.7463,1,57.0569,2820654,123941,13387,94.0379,11.0553,37629.5,0.108012,105.601,3.29371,0,0,0,0,0,0,0,0,0,0,0,latest,3657,514958,0,0,1,4,0,0,0,1
21,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731941,99.8462,0.00420436,0.149632,0.124945,0.528455,6.37445,737151,8,8,1.0118,62.705,78,0.124817,87013,269420,267697,111.441,0.0218842,1,0.124817,5,0.0468063,3454240,102749,9503.33,91.6788,10.2255,32429,0.092491,111.441,3.16842,0,0,0,0,0,0,0,0,0,0,0,latest,3,421586,0,0,5,1,0,0,0,2
22,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,89.1422,1.79387,9.06397,6.09041,0.446702,5.56794,651506,620,620,1.00708,65.6129,78,56.9945,79296,238976,237340,104.639,1.14619,81,56.5889,2,57.0725,3049117,113078,10769.6,98.4926,11.1022,34450.5,0.0952407,104.639,3.28233,0,0,0,0,0,0,0,0,0,0,0,latest,3658,415345,0,0,2,4,0,0,0,4
23,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,99.8739,0.00176163,0.124371,0.106403,0.542465,6.65897,806124,3,3,1.01023,62.8733,78,0.0468063,210574,259752,256991,113.394,0.0169117,0,0.0468063,2,0.0156021,2795523,130765,11452.6,92.5343,10.778,40775.4,0.0875814,113.394,3.20696,0,0,0,0,0,0,0,0,0,0,0,latest,1,365956,0,0,2,3,0,0,1,2
24,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,87.2964,1.85511,10.8485,8.62863,0.482169,5.47393,633699,524,524,1.00551,57.7577,78,57.0569,93803,226864,224610,105.142,1.19657,69,56.9945,2,57.0881,2817077,122302,12218,94.3214,11.4769,37461.9,0.0999001,105.142,3.26471,0,0,0,0,0,0,0,0,0,0,0,latest,3659,458635,0,0,2,2,0,0,0,1
25,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,99.9819,0.000635793,0.0174843,0.00932496,0.495812,6.25026,724277,2,2,1.01023,63.5625,78,0.0312042,70203,267853,266107,113.297,0.00752355,1,0.0312042,1,0,3505652,104830,9566.49,90.0601,9.94384,32489.9,0.0912569,113.297,3.22655,0,0,0,0,0,0,0,0,0,0,0,latest,0,350864,0,0,1,4,0,0,0,2
26,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,88.2465,1.05838,10.6952,8.93809,0.448492,5.77398,688429,821,821,1.00708,59.6963,78,57.0725,83011,253439,251688,102.857,1.08058,43,56.9633,2,57.0881,3302664,102749,11013.4,95.3202,10.7522,31275.6,0.107188,102.857,3.28528,0,0,0,0,0,0,0,0,0,0,0,latest,3659,496344,0,0,2,0,0,0,0,1
27,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.468392,6.82407,860421,0,0,1.01023,70.2769,78,0,360713,246557,243644,115.309,0,0,0,0,0,2090532,179299,14654.4,112.288,12.2219,55431.7,0.0817316,115.309,3.2346,0,0,0,0,0,0,0,0,0,0,0,latest,0,340538,0,0,0,8,0,0,0,2
28,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731941,88.8105,1.20457,9.98493,5.90587,0.468931,5.94313,724308,923,923,1.00708,61.5688,78,57.1193,192708,235115,232753,100.465,1.46562,43,57.0881,6,57.1037,2563948,129133,12793,106.135,11.9708,39355.3,0.0990679,100.465,3.28122,0,0,0,0,0,0,0,0,0,0,0,latest,3660,482100,0,0,6,2,0,0,0,3
29,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,99.9725,0.00169181,0.0258001,0.0085648,0.516532,6.27367,699671,3,3,1.01495,61.0685,78,0.0468063,65354,260335,258639,114.785,0.0162837,1,0.0468063,5,0,3551823,101971,10171.7,88.7164,9.99807,32480.5,0.0997508,114.785,3.13946,0,0,0,0,0,0,0,0,0,0,0,latest,0,487493,0,0,5,1,0,0,0,7
30,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,87.2516,2.14578,10.6027,8.85724,2.63716,4.7587,543706,494,494,1.00708,59.3297,78,56.8697,26580,209672,208307,105.964,1.03392,65,56.7917,2,56.9321,2996727,114150,11809.4,94.9826,11.9762,35525.7,0.103456,105.964,3.21316,0,0,0,0,0,0,0,0,0,0,0,latest,3649,314731,0,0,2,2,0,0,0,1
31,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,99.9212,0.00442349,0.0743362,0.0514635,0.488526,5.87321,687406,13,13,1.0118,61.9371,78,0.202827,88871,251101,248640,110.673,0.0194202,0,0.202827,2,0.171623,3204472,111677,10199.5,88.9076,10.3639,34706.3,0.0913307,110.673,3.21777,0,0,0,0,0,0,0,0,0,0,0,latest,11,394953,0,0,2,1,0,0,0,3
32,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,86.014,1.10256,12.8834,10.1668,0.499021,5.29696,635693,644,644,1.00708,60.749,78,57.0569,97125,226197,224013,101.516,1.37793,58,56.9789,2,57.1037,2785634,119350,11965.6,100.642,11.6621,36628.2,0.100257,101.516,3.2584,0,0,0,0,0,0,0,0,0,0,0,latest,3660,417541,0,0,2,3,0,0,0,2
33,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,99.9804,0.00126223,0.0183023,0.00589038,0.564951,6.32133,712579,2,2,1.01023,61.391,78,0.0312042,53836,267779,266094,116.825,0.011886,0,0.0312042,2,0,3624682,105990,9613.54,87.7116,9.78071,32391,0.0907022,116.825,3.27221,0,0,0,0,0,0,0,0,0,0,0,latest,0,353573,0,0,2,0,0,0,0,2
