t,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,c_backoff,c_mutex,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
40,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,88.4008,2.37368,9.22555,7.08479,0.447649,5.89362,762055,737,737,1.00708,67.7939,78,57.1037,276591,223528,221245,97.5888,1.33941,35,57.0257,0,57.1037,2030284,156963,14567.8,122.758,13.4681,48326.1,0.0928101,97.5888,3.248,0,0,0,0,0,0,0,0,0,0,0,latest,3660,386297,0,0,0,0,0,0,0,0
41,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.509796,6.39292,808621,0,0,1.00708,68.3509,78,0,271433,241344,239770,117.292,0,0,0,0,0,2229305,167210,13633.3,111.034,11.9211,52884.1,0.0815342,117.292,3.16182,0,0,0,0,0,0,0,0,0,0,0,latest,0,318692,0,0,0,0,0,0,0,0
42,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,85.8813,1.49111,12.6276,10.7118,0.553645,5.49015,722055,919,919,1.00708,70.5917,78,57.1037,243924,219584,217771,99.0171,1.17389,33,57.0101,0,57.1037,2050844,152754,13584.6,121.198,13.3743,48541.1,0.0889313,99.0171,3.14689,0,0,0,0,0,0,0,0,0,0,0,latest,3660,478366,0,0,0,0,0,0,0,0
43,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.476494,6.68081,836791,0,0,1.00708,70.4548,78,0,341617,239718,236927,117.94,0,0,0,0,0,2092841,175038,14374,103.742,11.9044,56637.3,0.0821192,117.94,3.0905,0,0,0,0,0,0,0,0,0,0,0,latest,0,346335,0,0,0,0,0,0,0,0
44,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,86.4615,1.2368,12.3016,9.82525,0.980375,4.93727,662812,474,474,1.00708,66.1668,78,57.1037,218404,201229,199132,102.712,1.20245,54,57.0569,0,57.1037,1931718,170356,15708.7,118.129,14.355,53465.4,0.092211,102.712,3.1863,0,0,0,0,0,0,0,0,0,0,0,latest,3660,421887,0,0,0,0,0,0,0,0
45,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.482795,6.75691,834429,0,0,1.00708,68.7286,78,0,273801,253444,251752,117.778,0,0,0,0,0,2383298,161877,13219.5,103.807,11.3761,49684.1,0.0816638,117.778,3.25813,0,0,0,0,0,0,0,0,0,0,0,latest,0,327722,0,0,0,0,0,0,0,0
46,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,89.5003,1.18444,9.31529,7.36618,1.10338,5.80275,743293,845,845,1.00708,70.0944,78,57.0881,239382,226217,224361,101.657,1.22724,21,57.0257,0,57.0881,2103738,155956,14671.3,116.227,13.0713,48566.1,0.0940732,101.657,3.21122,0,0,0,0,0,0,0,0,0,0,0,latest,3659,633337,0,0,0,0,0,0,0,0
47,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.493229,6.4795,830784,0,0,1.00708,69.6554,78,0,326577,239871,237136,117.274,0,0,0,0,0,2125403,181675,14725.3,101.808,11.8505,55480.1,0.081053,117.274,3.2746,0,0,0,0,0,0,0,0,0,0,0,latest,0,331636,0,0,0,0,0,0,0,0
48,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,88.8538,1.51619,9.63002,7.44686,0.45977,5.64438,742696,702,702,1.00708,69.0181,78,57.1037,256835,223856,221718,102.779,1.40664,82,56.9945,0,57.1037,2101075,158033,13784.6,117.673,13.1679,49189.6,0.0872257,102.779,3.21274,0,0,0,0,0,0,0,0,0,0,0,latest,3660,357079,0,0,0,0,0,0,0,0
49,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.459426,7.11545,888918,0,0,1.00708,68.8198,78,0,334177,260787,259036,117.861,0,0,0,0,0,2345604,163573,13332.8,105.93,11.4629,50503.7,0.0815097,117.861,3.23883,0,0,0,0,0,0,0,0,0,0,0,latest,0,311086,0,0,0,0,0,0,0,0
50,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,84.2463,1.2426,14.5111,12.5256,0.592912,5.17312,680624,997,997,1.00708,70.7333,78,57.0881,207053,210387,208745,101.053,1.22919,34,57.0413,0,57.0881,1989867,163512,15953,121.467,13.7307,51037.9,0.0975649,101.053,3.20373,0,0,0,0,0,0,0,0,0,0,0,latest,3659,601377,0,0,0,0,0,0,0,0
51,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.478472,6.79209,856471,0,0,1.00708,71.1865,78,0,383848,239968,237030,117.856,0,0,0,0,0,2045799,189414,15265.8,105.144,12.179,57923.4,0.080595,117.856,3.27007,0,0,0,0,0,0,0,0,0,0,0,latest,0,342305,0,0,0,0,0,0,0,0
52,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,87.1611,1.23321,11.6057,9.6004,0.609173,5.66918,735259,796,796,1.00708,69.989,78,57.1037,268960,216409,214354,95.68,1.20686,27,57.0413,0,57.1037,1966789,155216,14935.2,123.638,13.716,48924.2,0.0962218,95.68,3.17259,0,0,0,0,0,0,0,0,0,0,0,latest,3660,458129,0,0,0,0,0,0,0,0
53,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.453207,6.72702,849489,0,0,1.00708,69.4036,78,0,315132,248850,247189,117.851,0,0,0,0,0,2238323,172252,13878.2,108.464,11.8242,52917.9,0.0805693,117.851,3.25508,0,0,0,0,0,0,0,0,0,0,0,latest,0,324832,0,0,0,0,0,0,0,0
54,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,87.1325,1.68155,11.1859,9.02188,0.434867,5.5439,734340,710,710,1.00708,70.0865,78,57.1037,246851,221725,219764,98.5586,1.20528,1851,57.0569,0,57.1037,2075152,152549,13508.1,122.103,13.4644,47738.1,0.0885493,98.5586,3.19555,0,0,0,0,0,0,0,0,0,0,0,latest,3660,392944,0,0,0,0,0,0,0,0
55,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.461013,6.73665,852652,0,0,1.00708,70.1495,78,0,339130,243689,240868,118.045,0,0,0,0,0,2133241,178454,14511.7,104.955,11.9413,55638.9,0.0813187,118.045,3.20737,0,0,0,0,0,0,0,0,0,0,0,latest,0,335095,0,0,0,0,0,0,0,0
56,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,85.6626,1.20732,13.1301,11.1133,0.493844,5.50159,730124,823,823,1.00708,68.5287,78,57.1037,255854,220640,218596,98.1086,1.21414,40,57.0257,0,57.1037,2085280,150097,14643.7,121.386,13.4543,47292,0.0975615,98.1086,3.17385,0,0,0,0,0,0,0,0,0,0,0,latest,3660,472884,0,0,0,0,0,0,0,0
57,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.460206,6.55961,828303,0,0,1.00708,69.2809,78,0,253313,250963,249272,117.179,0,0,0,0,0,2368978,160418,13109.5,105.352,11.2525,49714.3,0.0817208,117.179,3.2268,0,0,0,0,0,0,0,0,0,0,0,latest,0,315440,0,0,0,0,0,0,0,0
58,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,87.099,2.33064,10.5704,8.64467,0.449644,5.88951,715901,817,817,1.00708,70.4784,78,57.0881,213020,220265,218257,97.1003,1.21345,30,57.0101,0,57.0881,2106387,146084,13316.7,122.446,13.3912,46344,0.0911576,97.1003,3.15216,0,0,0,0,0,0,0,0,0,0,0,latest,3659,387344,0,0,0,0,0,0,0,0
59,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.507353,6.73074,847068,0,0,1.00708,70.417,78,0,357878,241592,238736,117.899,0,0,0,0,0,2096084,180941,14729.5,106.422,12.0114,56556.6,0.0814047,117.899,3.19929,0,0,0,0,0,0,0,0,0,0,0,latest,0,345060,0,0,0,0,0,0,0,0
