t,name,c_hash,cycle,cycle-kernel,instr,L1-miss,br-miss,task,IPC,CPU,GHz
0,pp_3,1533262774221806276,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,pp_2,1533262774221806276,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,pp_0,1533262774221806276,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,pp_1,1533262774221806276,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1,pp_3,1533262774221806276,1895901575.00,1148288097.00,918784381.00,30307626.00,1273328.00,619592617.00,0.48,0.62,3.06
1,pp_2,1533262774221806276,1603149000.00,706492228.00,977223663.00,30037302.00,1405934.00,537871689.00,0.61,0.54,2.98
1,pp_0,1533262774221806276,1776964120.00,581072713.00,1154938648.00,30859148.00,1763246.00,572004974.00,0.65,0.57,3.11
1,pp_1,1533262774221806276,1644379795.00,672277946.00,1123576131.00,28886901.00,1384182.00,551387247.00,0.68,0.55,2.98
2,pp_3,1533262774221806276,3300778715.00,12471097.00,5658646439.00,1012001.00,83902.00,987822525.00,1.71,0.99,3.34
2,pp_2,1533262774221806276,3184573958.00,11344839.00,5318802148.00,1007799.00,83824.00,953272362.00,1.67,0.95,3.34
2,pp_0,1533262774221806276,3338944825.00,10928987.00,5835391949.00,975028.00,89606.00,999190268.00,1.75,1.00,3.34
2,pp_1,1533262774221806276,3263176716.00,10763979.00,5547556272.00,847878.00,88232.00,976619512.00,1.70,0.98,3.34
3,pp_3,1533262774221806276,3342646406.00,8418508.00,5737310014.00,661239.00,57191.00,1000640698.00,1.72,1.00,3.34
3,pp_2,1533262774221806276,3342473126.00,6853714.00,5603104444.00,664927.00,58138.00,1000616438.00,1.68,1.00,3.34
3,pp_0,1533262774221806276,3342029811.00,7078624.00,5969838152.00,550965.00,58040.00,1000442648.00,1.79,1.00,3.34
3,pp_1,1533262774221806276,3342420172.00,6761507.00,5777496795.00,554997.00,58214.00,1000581713.00,1.73,1.00,3.34
4,pp_3,1533262774221806276,3342227869.00,8268452.00,5766698015.00,645897.00,56365.00,1000467878.00,1.73,1.00,3.34
4,pp_2,1533262774221806276,3341549399.00,6929874.00,5611977579.00,657757.00,56300.00,1000335396.00,1.68,1.00,3.34
4,pp_0,1533262774221806276,3341997815.00,7098294.00,5945896494.00,546602.00,57280.00,1000404749.00,1.78,1.00,3.34
4,pp_1,1533262774221806276,3341238237.00,6902643.00,5737649159.00,537138.00,57159.00,1000208713.00,1.72,1.00,3.34
5,pp_3,1533262774221806276,3341532953.00,8546743.00,5683794482.00,665557.00,55633.00,1000521165.00,1.70,1.00,3.34
5,pp_2,1533262774221806276,3341439855.00,7030756.00,5536709026.00,682931.00,56358.00,1000529393.00,1.66,1.00,3.34
5,pp_0,1533262774221806276,3341088642.00,6954737.00,6600036426.00,332836.00,58768.00,1000351445.00,1.98,1.00,3.34
5,pp_1,1533262774221806276,3341431216.00,7050969.00,5547043580.00,594964.00,56203.00,1000523880.00,1.66,1.00,3.34
6,pp_3,1533262774221806276,3343009061.00,8750124.00,5695239735.00,661791.00,55588.00,1000489925.00,1.70,1.00,3.34
6,pp_2,1533262774221806276,3343318034.00,7002785.00,5568105503.00,669054.00,55667.00,1000570942.00,1.67,1.00,3.34
6,pp_0,1533262774221806276,3341517508.00,7450488.00,5665433394.00,684857.00,57105.00,1000053474.00,1.70,1.00,3.34
6,pp_1,1533262774221806276,3342895278.00,6994042.00,5758871530.00,532983.00,56898.00,1000436843.00,1.72,1.00,3.34
7,pp_3,1533262774221806276,3342845161.00,8335343.00,5873799525.00,608957.00,56586.00,1000565654.00,1.76,1.00,3.34
7,pp_2,1533262774221806276,3342417188.00,6831948.00,5613273375.00,656323.00,55923.00,1000506144.00,1.68,1.00,3.34
7,pp_0,1533262774221806276,3340386749.00,7274776.00,5568393225.00,716831.00,56323.00,999857736.00,1.67,1.00,3.34
7,pp_1,1533262774221806276,3342556122.00,6795579.00,5643808752.00,567266.00,56628.00,1000500105.00,1.69,1.00,3.34
8,pp_3,1533262774221806276,3342719467.00,8583812.00,5800119435.00,608685.00,55008.00,1000982645.00,1.74,1.00,3.34
8,pp_2,1533262774221806276,3342630610.00,6798837.00,6210652789.00,455847.00,57828.00,1001014382.00,1.86,1.00,3.34
8,pp_0,1533262774221806276,3341655229.00,7309942.00,6055332949.00,526940.00,57597.00,1000673758.00,1.81,1.00,3.34
8,pp_1,1533262774221806276,3342393035.00,6869418.00,6243279958.00,367240.00,57812.00,1000913142.00,1.87,1.00,3.34
9,pp_3,1533262774221806276,3343008666.00,8392537.00,5696774149.00,630884.00,55977.00,1000493482.00,1.70,1.00,3.34
9,pp_2,1533262774221806276,3343032423.00,6990999.00,5573390104.00,671230.00,57116.00,1000526890.00,1.67,1.00,3.34
9,pp_0,1533262774221806276,3340475277.00,7603874.00,5568959682.00,751935.00,57192.00,999757831.00,1.67,1.00,3.34
9,pp_1,1533262774221806276,3343090046.00,6853621.00,5576356457.00,587887.00,56541.00,1000522981.00,1.67,1.00,3.34
10,pp_3,1533262774221806276,3338404677.00,11129780.00,5672961088.00,813107.00,59870.00,999244780.00,1.70,1.00,3.34
10,pp_2,1533262774221806276,3337926365.00,10044771.00,5748556154.00,761527.00,61433.00,999116509.00,1.72,1.00,3.34
10,pp_0,1533262774221806276,3335969981.00,10515387.00,6191752281.00,636635.00,62746.00,998505664.00,1.86,1.00,3.34
10,pp_1,1533262774221806276,3337339269.00,10273571.00,5541280151.00,762919.00,63618.00,998934191.00,1.66,1.00,3.34
11,pp_3,1533262774221806276,3282066419.00,43672615.00,5457759579.00,3955842.00,201863.00,987948854.00,1.66,0.99,3.32
11,pp_2,1533262774221806276,3278986309.00,43604716.00,5319191628.00,3820547.00,198071.00,984044289.00,1.62,0.98,3.33
11,pp_0,1533262774221806276,3281874701.00,44110742.00,5433871209.00,3826345.00,201172.00,984796843.00,1.66,0.98,3.33
11,pp_1,1533262774221806276,3280782187.00,40549120.00,5556651874.00,3452328.00,216741.00,986749246.00,1.69,0.99,3.32
12,pp_3,1533262774221806276,3341551688.00,6790852.00,5728316495.00,747341.00,65409.00,1000563743.00,1.71,1.00,3.34
12,pp_2,1533262774221806276,3341485068.00,6910726.00,5587735095.00,683412.00,56336.00,1000569047.00,1.67,1.00,3.34
12,pp_0,1533262774221806276,3340976805.00,8510502.00,6086371706.00,586505.00,58885.00,1000374957.00,1.82,1.00,3.34
12,pp_1,1533262774221806276,3341091369.00,6947470.00,5581581896.00,650727.00,58096.00,1000434951.00,1.67,1.00,3.34
13,pp_3,1533262774221806276,3342333886.00,6854194.00,5738221023.00,739451.00,67065.00,1000555849.00,1.72,1.00,3.34
13,pp_2,1533262774221806276,3342337309.00,6960658.00,5595869116.00,681502.00,56887.00,1000541536.00,1.67,1.00,3.34
13,pp_0,1533262774221806276,3338925563.00,8933685.00,5939509804.00,659409.00,60586.00,999562078.00,1.78,1.00,3.34
13,pp_1,1533262774221806276,3342216964.00,6818787.00,5861308059.00,592217.00,57899.00,1000531778.00,1.75,1.00,3.34
14,pp_3,1533262774221806276,3343622255.00,6878339.00,5726861426.00,763344.00,66362.00,1000599691.00,1.71,1.00,3.34
14,pp_2,1533262774221806276,3343379967.00,6796244.00,5589538590.00,677366.00,57146.00,1000484453.00,1.67,1.00,3.34
14,pp_0,1533262774221806276,3342694860.00,8507621.00,5942865008.00,649332.00,60464.00,1000309640.00,1.78,1.00,3.34
14,pp_1,1533262774221806276,3343304743.00,6774801.00,5612698957.00,676013.00,56452.00,1000499566.00,1.68,1.00,3.34
15,pp_3,1533262774221806276,3342489498.00,6789016.00,5728908659.00,755218.00,68013.00,1000498143.00,1.71,1.00,3.34
15,pp_2,1533262774221806276,3342464541.00,6833462.00,5587948310.00,715371.00,57348.00,1000495472.00,1.67,1.00,3.34
15,pp_0,1533262774221806276,3340844385.00,8762228.00,5592316972.00,812305.00,60571.00,1000020927.00,1.67,1.00,3.34
15,pp_1,1533262774221806276,3342481669.00,6850606.00,5597740259.00,675268.00,57545.00,1000486396.00,1.67,1.00,3.34
16,pp_3,1533262774221806276,3341290425.00,7146680.00,5737120417.00,730426.00,68455.00,1000499593.00,1.72,1.00,3.34
16,pp_2,1533262774221806276,3341903295.00,7091019.00,5594145434.00,710326.00,56938.00,1000727685.00,1.67,1.00,3.34
16,pp_0,1533262774221806276,3338874245.00,8991657.00,5594806948.00,799062.00,58025.00,999794261.00,1.68,1.00,3.34
16,pp_1,1533262774221806276,3341820692.00,7090035.00,5594620241.00,694617.00,57225.00,1000666209.00,1.67,1.00,3.34
17,pp_3,1533262774221806276,3342487347.00,7153295.00,5733120525.00,750018.00,67754.00,1000739952.00,1.72,1.00,3.34
17,pp_2,1533262774221806276,3340115814.00,7344715.00,5590978800.00,701218.00,56514.00,1000046402.00,1.67,1.00,3.34
17,pp_0,1533262774221806276,3339953864.00,9220368.00,5664338249.00,779400.00,58227.00,999982686.00,1.70,1.00,3.34
17,pp_1,1533262774221806276,3341602565.00,7284765.00,5587582297.00,673977.00,56953.00,1000491225.00,1.67,1.00,3.34
18,pp_3,1533262774221806276,3343244947.00,6931071.00,5731272358.00,747728.00,67681.00,1000504511.00,1.71,1.00,3.34
18,pp_2,1533262774221806276,3300518646.00,7137679.00,5514614118.00,679909.00,56215.00,987740277.00,1.67,0.99,3.34
18,pp_0,1533262774221806276,3340602827.00,8659155.00,5863389398.00,685859.00,58500.00,999720321.00,1.76,1.00,3.34
18,pp_1,1533262774221806276,3343047327.00,6808362.00,5660996685.00,659840.00,57695.00,1000429799.00,1.69,1.00,3.34
19,pp_3,1533262774221806276,3342806001.00,6771272.00,5737894401.00,750654.00,67555.00,1000514481.00,1.72,1.00,3.34
19,pp_2,1533262774221806276,3342661878.00,6829615.00,5596481355.00,714524.00,57388.00,1000485894.00,1.67,1.00,3.34
19,pp_0,1533262774221806276,3340777618.00,8784939.00,5747455052.00,727275.00,57865.00,999935900.00,1.72,1.00,3.34
19,pp_1,1533262774221806276,3342696812.00,6889382.00,5601462938.00,704635.00,56452.00,1000482539.00,1.68,1.00,3.34
20,pp_3,1533262774221806276,3320679635.00,20726179.00,5667360574.00,1445129.00,90925.00,995071170.00,1.71,0.99,3.34
20,pp_2,1533262774221806276,3320277360.00,21394652.00,5529539235.00,1476182.00,80251.00,995014148.00,1.67,0.99,3.34
20,pp_0,1533262774221806276,3315472863.00,21328889.00,5516782271.00,1459249.00,79057.00,993895779.00,1.66,0.99,3.34
20,pp_1,1533262774221806276,3318961125.00,20939247.00,5534325610.00,1403619.00,78260.00,994581171.00,1.67,0.99,3.34
21,pp_3,1533262774221806276,3298605311.00,32452912.00,5539462263.00,3133318.00,165677.00,991616732.00,1.68,0.99,3.33
21,pp_2,1533262774221806276,3292278050.00,31789583.00,5389846113.00,3072686.00,162971.00,990039179.00,1.64,0.99,3.33
21,pp_0,1533262774221806276,3304009176.00,31522225.00,5885346991.00,2964227.00,170326.00,991594125.00,1.78,0.99,3.33
21,pp_1,1533262774221806276,3304831177.00,30829635.00,5779158837.00,2716620.00,181825.00,991021576.00,1.75,0.99,3.33
22,pp_3,1533262774221806276,3347593196.00,7574576.00,5759877818.00,694207.00,56828.00,1001994383.00,1.72,1.00,3.34
22,pp_2,1533262774221806276,3347600058.00,7425304.00,5621729546.00,784882.00,56460.00,1001977468.00,1.68,1.00,3.34
22,pp_0,1533262774221806276,3344258814.00,7873399.00,5736351182.00,743200.00,57935.00,1001010544.00,1.72,1.00,3.34
22,pp_1,1533262774221806276,3347110982.00,7408160.00,5739756868.00,637596.00,57255.00,1001862402.00,1.71,1.00,3.34
23,pp_3,1533262774221806276,3342142470.00,8633889.00,5745508881.00,710709.00,55743.00,1000130069.00,1.72,1.00,3.34
23,pp_2,1533262774221806276,3332015445.00,7213589.00,5584446438.00,790189.00,55434.00,997078609.00,1.68,1.00,3.34
23,pp_0,1533262774221806276,3342215835.00,7534160.00,5588541612.00,753717.00,56769.00,1000155311.00,1.67,1.00,3.34
23,pp_1,1533262774221806276,3343327465.00,7040363.00,5692671078.00,649705.00,57671.00,1000473246.00,1.70,1.00,3.34
24,pp_3,1533262774221806276,3343508431.00,8111025.00,5767347435.00,724843.00,56309.00,1000491991.00,1.72,1.00,3.34
24,pp_2,1533262774221806276,3343544460.00,6706283.00,5619249836.00,777651.00,57049.00,1000497039.00,1.68,1.00,3.34
24,pp_0,1533262774221806276,3341720614.00,7028070.00,5601746888.00,776088.00,57051.00,999969811.00,1.68,1.00,3.34
24,pp_1,1533262774221806276,3343111713.00,6610709.00,5625750510.00,678189.00,57068.00,1000373285.00,1.68,1.00,3.34
25,pp_3,1533262774221806276,3341821535.00,8234552.00,5753595007.00,687025.00,56421.00,1000523568.00,1.72,1.00,3.34
25,pp_2,1533262774221806276,3341770439.00,6726102.00,5611150715.00,793782.00,60778.00,1000532433.00,1.68,1.00,3.34
25,pp_0,1533262774221806276,3339495663.00,7435321.00,5795749030.00,696496.00,57229.00,999841812.00,1.74,1.00,3.34
25,pp_1,1533262774221806276,3341718377.00,6792389.00,5612128016.00,687747.00,56886.00,1000507362.00,1.68,1.00,3.34
26,pp_3,1533262774221806276,3342612278.00,8636712.00,5759066145.00,718833.00,56983.00,1000713096.00,1.72,1.00,3.34
26,pp_2,1533262774221806276,3342755044.00,7122255.00,5628487385.00,762404.00,61828.00,1000743515.00,1.68,1.00,3.34
26,pp_0,1533262774221806276,3339478324.00,7718290.00,5619092661.00,790560.00,57127.00,999743902.00,1.68,1.00,3.34
26,pp_1,1533262774221806276,3342386699.00,7162508.00,5666817514.00,647891.00,57468.00,1000625862.00,1.70,1.00,3.34
27,pp_3,1533262774221806276,3342991582.00,8459464.00,5899540834.00,675025.00,57209.00,1000543611.00,1.76,1.00,3.34
27,pp_2,1533262774221806276,3342981230.00,6899426.00,5642601563.00,754708.00,57044.00,1000521434.00,1.69,1.00,3.34
27,pp_0,1533262774221806276,3342456020.00,6772328.00,6892565594.00,261367.00,60197.00,1000339537.00,2.06,1.00,3.34
27,pp_1,1533262774221806276,3343168817.00,6477075.00,6404860200.00,394756.00,58285.00,1000563919.00,1.92,1.00,3.34
28,pp_3,1533262774221806276,3343238923.00,8456585.00,5910236841.00,658722.00,56810.00,1000508013.00,1.77,1.00,3.34
28,pp_2,1533262774221806276,3343250656.00,7178983.00,5740543944.00,737271.00,57270.00,1000493929.00,1.72,1.00,3.34
28,pp_0,1533262774221806276,3342048728.00,7483610.00,6084160325.00,591622.00,58401.00,1000146407.00,1.82,1.00,3.34
28,pp_1,1533262774221806276,3342898878.00,7077208.00,5726085868.00,622828.00,57918.00,1000391116.00,1.71,1.00,3.34
29,pp_3,1533262774221806276,3342238616.00,8297264.00,5744721811.00,723552.00,56758.00,1000540441.00,1.72,1.00,3.34
29,pp_2,1533262774221806276,3342284276.00,6756092.00,5614763040.00,760782.00,57209.00,1000553859.00,1.68,1.00,3.34
29,pp_0,1533262774221806276,3341235432.00,7153717.00,5593981305.00,791147.00,57330.00,1000284073.00,1.67,1.00,3.34
29,pp_1,1533262774221806276,3342210816.00,6884947.00,5599532773.00,646253.00,56974.00,1000527108.00,1.68,1.00,3.34
0,pp_3,6886505736832390941,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,pp_2,6886505736832390941,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,pp_0,6886505736832390941,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,pp_1,6886505736832390941,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1,pp_3,6886505736832390941,1949142731.00,1178838805.00,947472456.00,29492296.00,1234713.00,627423528.00,0.49,0.63,3.11
1,pp_2,6886505736832390941,1493767885.00,674574484.00,943616704.00,28696399.00,1294887.00,492219540.00,0.63,0.49,3.03
1,pp_0,6886505736832390941,1679214671.00,566132461.00,1137019540.00,29567769.00,1620850.00,543070787.00,0.68,0.54,3.09
1,pp_1,6886505736832390941,1678560231.00,567385428.00,1249741382.00,29208824.00,1555958.00,551059939.00,0.74,0.55,3.05
2,pp_3,6886505736832390941,3267242094.00,8158462.00,5340163664.00,866124.00,70988.00,1000475729.00,1.63,1.00,3.27
2,pp_2,6886505736832390941,3264138131.00,8452097.00,5656563051.00,794092.00,72710.00,999602791.00,1.73,1.00,3.27
2,pp_0,6886505736832390941,3263582129.00,7927403.00,6517824424.00,536626.00,71049.00,999403057.00,2.00,1.00,3.27
2,pp_1,6886505736832390941,3266729560.00,6951901.00,6113466672.00,562563.00,74027.00,1000316729.00,1.87,1.00,3.27
3,pp_3,6886505736832390941,2887174907.00,6992901.00,4541652587.00,810267.00,57358.00,1000205438.00,1.57,1.00,2.89
3,pp_2,6886505736832390941,2887021729.00,5888955.00,4539765075.00,795799.00,57124.00,1000184049.00,1.57,1.00,2.89
3,pp_0,6886505736832390941,2886008188.00,5973882.00,4746538134.00,809905.00,56033.00,999874615.00,1.64,1.00,2.89
3,pp_1,6886505736832390941,2886856781.00,6126001.00,4528261266.00,762413.00,57800.00,1000157440.00,1.57,1.00,2.89
4,pp_3,6886505736832390941,2791878233.00,6521505.00,4390332857.00,801925.00,52303.00,1000171997.00,1.57,1.00,2.79
4,pp_2,6886505736832390941,2791770477.00,5641824.00,4394497847.00,780524.00,54473.00,1000123765.00,1.57,1.00,2.79
4,pp_0,6886505736832390941,2791194266.00,5613908.00,5390480506.00,472191.00,53350.00,999923559.00,1.93,1.00,2.79
4,pp_1,6886505736832390941,2791768143.00,5446495.00,4715738181.00,622702.00,53643.00,1000099248.00,1.69,1.00,2.79
5,pp_3,6886505736832390941,2788054882.00,7039016.00,4373811696.00,769050.00,53110.00,1000086235.00,1.57,1.00,2.79
5,pp_2,6886505736832390941,2788553017.00,5567892.00,4419792456.00,763063.00,53748.00,1000241464.00,1.58,1.00,2.79
5,pp_0,6886505736832390941,2787946252.00,5700365.00,4712839393.00,736844.00,52123.00,1000024476.00,1.69,1.00,2.79
5,pp_1,6886505736832390941,2788390658.00,5760106.00,4402586116.00,725885.00,53607.00,1000180005.00,1.58,1.00,2.79
6,pp_3,6886505736832390941,2784940290.00,7028754.00,4373710765.00,833451.00,54613.00,999860332.00,1.57,1.00,2.79
6,pp_2,6886505736832390941,2785831504.00,5770162.00,4395235012.00,781496.00,54057.00,1000187205.00,1.58,1.00,2.79
6,pp_0,6886505736832390941,2786057720.00,5511577.00,5005294561.00,597321.00,53556.00,1000209255.00,1.80,1.00,2.79
6,pp_1,6886505736832390941,2786116003.00,5276727.00,4614790386.00,635837.00,52999.00,1000249743.00,1.66,1.00,2.79
7,pp_3,6886505736832390941,2790410502.00,6893425.00,4382806320.00,886339.00,52884.00,1000121112.00,1.57,1.00,2.79
7,pp_2,6886505736832390941,2790439031.00,5552817.00,4384835639.00,756102.00,51790.00,1000162135.00,1.57,1.00,2.79
7,pp_0,6886505736832390941,2789415516.00,5866378.00,4495453038.00,767773.00,53542.00,999782283.00,1.61,1.00,2.79
7,pp_1,6886505736832390941,2790155399.00,5735297.00,4388846117.00,740766.00,54155.00,1000048391.00,1.57,1.00,2.79
8,pp_3,6886505736832390941,2784598419.00,6774615.00,4379625634.00,857770.00,53114.00,1000110316.00,1.57,1.00,2.78
8,pp_2,6886505736832390941,2784632529.00,5585857.00,4373570896.00,783446.00,53079.00,1000158013.00,1.57,1.00,2.78
8,pp_0,6886505736832390941,2783619233.00,5580018.00,4466393352.00,788457.00,52526.00,999769977.00,1.60,1.00,2.78
8,pp_1,6886505736832390941,2784483889.00,5509617.00,4380170018.00,703319.00,53339.00,1000053829.00,1.57,1.00,2.78
9,pp_3,6886505736832390941,2781796737.00,6953238.00,4374915701.00,858580.00,53546.00,999991046.00,1.57,1.00,2.78
9,pp_2,6886505736832390941,2782228435.00,5727775.00,4382301356.00,789594.00,53143.00,1000167283.00,1.58,1.00,2.78
9,pp_0,6886505736832390941,2780313409.00,5921516.00,4556731077.00,751406.00,53973.00,999463978.00,1.64,1.00,2.78
9,pp_1,6886505736832390941,2782302949.00,5575533.00,4385234389.00,718312.00,53075.00,1000161376.00,1.58,1.00,2.78
10,pp_3,6886505736832390941,2778169844.00,8090070.00,4366948860.00,961875.00,56885.00,999975126.00,1.57,1.00,2.78
10,pp_2,6886505736832390941,2777513561.00,7455943.00,4370102909.00,885747.00,58758.00,999801012.00,1.57,1.00,2.78
10,pp_0,6886505736832390941,2776896677.00,7481255.00,4641630601.00,861128.00,57008.00,999561613.00,1.67,1.00,2.78
10,pp_1,6886505736832390941,2777344010.00,7606075.00,4445694044.00,829289.00,58280.00,999764733.00,1.60,1.00,2.78
11,pp_3,6886505736832390941,2989128550.00,42196110.00,4674289011.00,3930937.00,179370.00,986006460.00,1.56,0.99,3.03
11,pp_2,6886505736832390941,2966028102.00,40977598.00,4646023677.00,3798553.00,168325.00,978937644.00,1.57,0.98,3.03
11,pp_0,6886505736832390941,2982695642.00,39393032.00,6028218778.00,3337183.00,181306.00,987163860.00,2.02,0.99,3.02
11,pp_1,6886505736832390941,2986540599.00,38489017.00,4890781625.00,3493955.00,186646.00,988330866.00,1.64,0.99,3.02
12,pp_3,6886505736832390941,2955192728.00,6159749.00,4711537009.00,835964.00,52689.00,1000172466.00,1.59,1.00,2.95
12,pp_2,6886505736832390941,2955148247.00,6145522.00,4702733570.00,851440.00,52131.00,1000178393.00,1.59,1.00,2.95
12,pp_0,6886505736832390941,2954904426.00,6060659.00,5282292063.00,654646.00,53007.00,1000112572.00,1.79,1.00,2.95
12,pp_1,6886505736832390941,2955111477.00,6143510.00,4708892509.00,746753.00,52142.00,1000178473.00,1.59,1.00,2.95
13,pp_3,6886505736832390941,2760046315.00,5621109.00,4303721124.00,833896.00,53000.00,1000125787.00,1.56,1.00,2.76
13,pp_2,6886505736832390941,2759848724.00,7224033.00,4324645817.00,845861.00,55539.00,1000083084.00,1.57,1.00,2.76
13,pp_0,6886505736832390941,2760011388.00,5300531.00,5195019482.00,499436.00,51972.00,1000082275.00,1.88,1.00,2.76
13,pp_1,6886505736832390941,2759708039.00,5885333.00,4308072445.00,751646.00,53042.00,1000010752.00,1.56,1.00,2.76
14,pp_3,6886505736832390941,2756619495.00,5731095.00,4299143207.00,900056.00,53181.00,1000128657.00,1.56,1.00,2.76
14,pp_2,6886505736832390941,2756203503.00,6827429.00,4297515656.00,859435.00,54614.00,999991404.00,1.56,1.00,2.76
14,pp_0,6886505736832390941,2756289680.00,5821823.00,4758103877.00,712668.00,53971.00,1000013166.00,1.73,1.00,2.76
14,pp_1,6886505736832390941,2756687456.00,5732674.00,4574166419.00,644593.00,53319.00,1000134878.00,1.66,1.00,2.76
15,pp_3,6886505736832390941,2760413122.00,5508326.00,4308065696.00,839962.00,52079.00,1000541721.00,1.56,1.00,2.76
15,pp_2,6886505736832390941,2760424481.00,6910962.00,4312092593.00,874837.00,53969.00,1000562160.00,1.56,1.00,2.76
15,pp_0,6886505736832390941,2760063719.00,5961246.00,4874358346.00,672517.00,53370.00,1000395773.00,1.77,1.00,2.76
15,pp_1,6886505736832390941,2760031383.00,5853285.00,4373610955.00,700142.00,52954.00,1000402110.00,1.58,1.00,2.76
16,pp_3,6886505736832390941,2760108078.00,5232131.00,4309202616.00,880004.00,54001.00,1000291608.00,1.56,1.00,2.76
16,pp_2,6886505736832390941,2759770206.00,6521934.00,4385381889.00,848395.00,54227.00,1000142170.00,1.59,1.00,2.76
16,pp_0,6886505736832390941,2760091384.00,5054665.00,5491010380.00,380292.00,53478.00,1000188248.00,1.99,1.00,2.76
16,pp_1,6886505736832390941,2759729971.00,5423202.00,4378794208.00,731667.00,54190.00,1000125264.00,1.59,1.00,2.76
17,pp_3,6886505736832390941,2759015290.00,5273315.00,4313969294.00,845397.00,52519.00,1000170004.00,1.56,1.00,2.76
17,pp_2,6886505736832390941,2758899748.00,6378699.00,4309478419.00,859924.00,52791.00,1000125293.00,1.56,1.00,2.76
17,pp_0,6886505736832390941,2758526633.00,5611163.00,4701612337.00,677077.00,52813.00,999973739.00,1.70,1.00,2.76
17,pp_1,6886505736832390941,2758750950.00,5195173.00,4304192347.00,725658.00,51725.00,1000062047.00,1.56,1.00,2.76
18,pp_3,6886505736832390941,2754996078.00,5579874.00,4307520937.00,838033.00,51889.00,1000149631.00,1.56,1.00,2.75
18,pp_2,6886505736832390941,2754499220.00,6883667.00,4385321370.00,813884.00,53151.00,999991909.00,1.59,1.00,2.75
18,pp_0,6886505736832390941,2753473896.00,5732540.00,4380168599.00,768454.00,52046.00,999604971.00,1.59,1.00,2.75
18,pp_1,6886505736832390941,2754645361.00,5651908.00,4318809011.00,719850.00,52315.00,1000017475.00,1.57,1.00,2.75
19,pp_3,6886505736832390941,2752870864.00,5559591.00,4302981369.00,843667.00,52178.00,1000170557.00,1.56,1.00,2.75
19,pp_2,6886505736832390941,2752569856.00,7027052.00,4284317958.00,861208.00,52422.00,1000091933.00,1.56,1.00,2.75
19,pp_0,6886505736832390941,2752028275.00,5454328.00,4699328149.00,654903.00,51206.00,999842001.00,1.71,1.00,2.75
19,pp_1,6886505736832390941,2752822586.00,5462129.00,4300262246.00,732615.00,52677.00,1000142932.00,1.56,1.00,2.75
20,pp_3,6886505736832390941,2741970979.00,16584959.00,4271576335.00,1619623.00,71469.00,995844676.00,1.56,1.00,2.75
20,pp_2,6886505736832390941,2741493524.00,17286737.00,4274981551.00,1625968.00,70914.00,995747732.00,1.56,1.00,2.75
20,pp_0,6886505736832390941,2740534245.00,16405362.00,4562537243.00,1491740.00,71277.00,995366546.00,1.66,0.99,2.75
20,pp_1,6886505736832390941,2740441472.00,16279583.00,4314495597.00,1475019.00,69927.00,995662553.00,1.57,1.00,2.75
21,pp_3,6886505736832390941,3236670701.00,35228068.00,5221553549.00,3452908.00,183733.00,990545874.00,1.61,0.99,3.27
21,pp_2,6886505736832390941,3225647471.00,32604965.00,5199003754.00,3408784.00,180767.00,990133382.00,1.61,0.99,3.26
21,pp_0,6886505736832390941,3229036434.00,33497008.00,6010454497.00,3045463.00,179942.00,988107763.00,1.86,0.99,3.27
21,pp_1,6886505736832390941,3224566463.00,31502198.00,5603437925.00,2930166.00,196337.00,989801868.00,1.74,0.99,3.26
22,pp_3,6886505736832390941,2692819526.00,6386552.00,4173304643.00,813854.00,50723.00,1005426990.00,1.55,1.00,2.68
22,pp_2,6886505736832390941,2692208264.00,5733642.00,4173172822.00,794528.00,50788.00,1005164855.00,1.55,1.00,2.68
22,pp_0,6886505736832390941,2692518999.00,5848539.00,4555290950.00,719059.00,50734.00,1005246439.00,1.69,1.00,2.68
22,pp_1,6886505736832390941,2693345705.00,5443373.00,4186610987.00,713333.00,50206.00,1005519478.00,1.55,1.00,2.68
23,pp_3,6886505736832390941,2694532198.00,6778021.00,4158615957.00,802747.00,48491.00,1000237187.00,1.54,1.00,2.69
23,pp_2,6886505736832390941,2694204446.00,5773295.00,4165449988.00,798554.00,51107.00,1000219437.00,1.55,1.00,2.69
23,pp_0,6886505736832390941,2691722398.00,5500154.00,4883081120.00,593775.00,50310.00,999381500.00,1.81,1.00,2.69
23,pp_1,6886505736832390941,2693187263.00,5620240.00,4609779383.00,601299.00,51837.00,999882368.00,1.71,1.00,2.69
24,pp_3,6886505736832390941,2693930394.00,6649125.00,4175544896.00,807505.00,49378.00,1000107351.00,1.55,1.00,2.69
24,pp_2,6886505736832390941,2694138408.00,5683884.00,4192389668.00,769479.00,52086.00,1000126000.00,1.56,1.00,2.69
24,pp_0,6886505736832390941,2694045968.00,5473368.00,4757448195.00,638661.00,49467.00,1000103746.00,1.77,1.00,2.69
24,pp_1,6886505736832390941,2693975248.00,5666195.00,4178735060.00,748204.00,50728.00,1000132670.00,1.55,1.00,2.69
