t,c_hash,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9
1,17662797112277246170,0,latest,48568,346908,0,0,2,2,0,0,0,1,0,107140,0,0,0,0,0,0,24566039,295740
2,17662797112277246170,0,latest,20,688075,0,0,0,0,0,0,0,0,0,4536,0,0,0,0,0,0,43664130,594143
3,17662797112277246170,0,latest,0,688484,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,44166418,632998
4,17662797112277246170,0,latest,0,694714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44142748,627349
5,17662797112277246170,0,latest,0,679601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43641621,612351
6,17662797112277246170,0,latest,0,673199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43705624,615840
7,17662797112277246170,0,latest,0,691578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44790492,667902
8,17662797112277246170,0,latest,0,684295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44608584,662059
9,17662797112277246170,0,latest,0,655850,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,43395999,608880
10,17662797112277246170,0,latest,14,670879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44263372,647709
11,17662797112277246170,0,latest,5627,804158,0,0,2,4,0,0,0,2,0,22673,0,0,0,0,0,0,38139441,584056
12,17662797112277246170,0,latest,0,818974,0,0,0,1,0,0,0,0,0,302,0,0,0,0,0,0,47191802,623554
13,17662797112277246170,0,latest,0,807347,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,47246495,612928
14,17662797112277246170,0,latest,0,793925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47061098,594445
15,17662797112277246170,0,latest,0,794460,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47458574,623395
16,17662797112277246170,0,latest,0,799250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46114597,548740
17,17662797112277246170,0,latest,0,797904,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45812287,546287
18,17662797112277246170,0,latest,0,796042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45417561,521462
19,17662797112277246170,0,latest,0,795680,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45894658,532308
20,17662797112277246170,0,latest,183,798543,0,0,1,0,0,0,0,0,0,325,0,0,0,0,0,0,46241912,565086
21,17662797112277246170,0,latest,5658,702303,0,0,2,1,0,0,0,4,0,28442,0,0,0,0,0,0,41948977,603773
22,17662797112277246170,0,latest,0,791657,0,0,1,1,0,0,0,0,0,476,0,0,0,0,0,0,46830273,626788
23,17662797112277246170,0,latest,0,801421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46406516,568979
24,17662797112277246170,0,latest,0,788305,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45863145,559449
25,17662797112277246170,0,latest,0,787805,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,45907140,587539
26,17662797112277246170,0,latest,0,766603,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,45029550,547666
27,17662797112277246170,0,latest,0,797097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46220952,592225
28,17662797112277246170,0,latest,0,786035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46578418,613544
29,17662797112277246170,0,latest,0,805234,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46588380,617693
